"","Gene_symbol","Transcript","Ensembl","Ensembl_biomart"
"97","RPL8","NM_000973","ENSG00000161016","ENSG00000161016"
"98","RPL11","NM_000975","ENSG00000142676","ENSG00000142676"
"99","RPL27","NM_000988","ENSG00000131469","ENSG00000131469"
"100","RPL30","NM_000989","ENSG00000156482","ENSG00000156482"
"101","RPL31","NM_000993","ENSG00000071082","ENSG00000071082"
"102","RPL32","NM_000994","ENSG00000222604","ENSG00000144713"
"103","RPL34","NM_000995","ENSG00000109475","ENSG00000109475"
"104","RPL35A","NM_000996","ENSG00000182899","ENSG00000182899"
"105","RPL36AL","NM_001001","ENSG00000165502","ENSG00000165502"
"106","REEP3","NM_001001330","ENSG00000165476","ENSG00000165476"
"107","TSR3","NM_001001410","ENSG00000007520","ENSG00000007520"
"108","TIMM50","NM_001001563","ENSG00000105197","ENSG00000105197"
"109","ALKBH2","NM_001001655","ENSG00000189046","ENSG00000189046"
"110","LYRM5","NM_001001660","ENSG00000205707",NA
"111","MED11","NM_001001683","ENSG00000161920","ENSG00000161920"
"112","C4orf3","NM_001001701","ENSG00000164096","ENSG00000164096"
"113","TOMM5","NM_001001790","ENSG00000175768","ENSG00000175768"
"114","C8orf82","NM_001001795","ENSG00000213563","ENSG00000213563"
"115","ECHDC1","NM_001002030","ENSG00000093144","ENSG00000093144"
"116","ZNF787","NM_001002836","ENSG00000142409","ENSG00000142409"
"117","PTRH1","NM_001002913","ENSG00000187024","ENSG00000187024"
"118","HMGXB4","NM_001003681","ENSG00000100281","ENSG00000100281"
"119","ALG11","NM_001004127","ENSG00000136112","ENSG00000253710"
"120","ZNF740","NM_001004304","ENSG00000139651","ENSG00000139651"
"121","RNASEK","NM_001004333","ENSG00000219200","ENSG00000219200"
"122","YPEL2","NM_001005404","ENSG00000175155","ENSG00000175155"
"123","JMJD8","NM_001005920","ENSG00000161999","ENSG00000161999"
"124","SDCBP","NM_001007068","ENSG00000137575","ENSG00000137575"
"125","SCP2","NM_001007250","ENSG00000116171","ENSG00000116171"
"126","IRGQ","NM_001007561","ENSG00000167378","ENSG00000167378"
"127","COA5","NM_001008215","ENSG00000183513","ENSG00000183513"
"128","TTC32","NM_001008237","ENSG00000183891","ENSG00000183891"
"129","CISD2","NM_001008388","ENSG00000145354","ENSG00000145354"
"130","LAMTOR4","NM_001008395","ENSG00000188186","ENSG00000188186"
"131","TMEM64","NM_001008495","ENSG00000180694","ENSG00000180694"
"132","ZNF121","NM_001008727","ENSG00000197961","ENSG00000197961"
"133","C6orf226","NM_001008739","ENSG00000221821","ENSG00000221821"
"134","STK16","NM_001008910","ENSG00000115661","ENSG00000115661"
"135","RPS5","NM_001009","ENSG00000083845","ENSG00000083845"
"136","PPP2CB","NM_001009552","ENSG00000104695","ENSG00000104695"
"137","C12orf29","NM_001009894","ENSG00000133641","ENSG00000133641"
"138","FAM168B","NM_001009993","ENSG00000152102","ENSG00000152102"
"139","RPS6","NM_001010","ENSG00000137154","ENSG00000137154"
"140","TTC7B","NM_001010854","ENSG00000165914","ENSG00000165914"
"141","RNF187","NM_001010858","ENSG00000168159","ENSG00000168159"
"142","IBA57","NM_001010867","ENSG00000181873","ENSG00000181873"
"143","MYPOP","NM_001012643","ENSG00000176182","ENSG00000176182"
"144","CTU2","NM_001012759","ENSG00000174177","ENSG00000174177"
"145","COA6","NM_001012985","ENSG00000168275","ENSG00000168275"
"146","UBE2NL","NM_001012989","ENSG00000102069","ENSG00000276380"
"147","GDPGP1","NM_001013657","ENSG00000183208","ENSG00000183208"
"148","PTRHD1","NM_001013663","ENSG00000184924","ENSG00000184924"
"149","SRRD","NM_001013694","ENSG00000100104","ENSG00000100104"
"150","EIF2AK4","NM_001013703","ENSG00000128829","ENSG00000128829"
"151","CXorf40B","NM_001013845","ENSG00000197021","ENSG00000197021"
"152","RPS13","NM_001017","ENSG00000110700","ENSG00000110700"
"153","TMCC1","NM_001017395","ENSG00000172765","ENSG00000172765"
"154","C14orf28","NM_001017923","ENSG00000179476","ENSG00000179476"
"155","C2orf76","NM_001017927","ENSG00000186132","ENSG00000186132"
"156","VMA21","NM_001017980","ENSG00000160131","ENSG00000160131"
"157","CMC4","NM_001018024","ENSG00000182712","ENSG00000182712"
"158","SERF2","NM_001018108","ENSG00000140264","ENSG00000140264"
"159","NME1-NME2","NM_001018136","ENSG00000011052","ENSG00000011052"
"160","LRRC24","NM_001024678","ENSG00000177021","ENSG00000254402"
"161","RPS23","NM_001025","ENSG00000186468","ENSG00000186468"
"162","ANO6","NM_001025356","ENSG00000177119","ENSG00000177119"
"163","RPS24","NM_001026","ENSG00000138326","ENSG00000138326"
"164","KCTD21","NM_001029859","ENSG00000188997","ENSG00000188997"
"165","C6orf120","NM_001029863","ENSG00000185127","ENSG00000185127"
"166","GLTPD1","NM_001029885","ENSG00000187488",NA
"167","ZNF181","NM_001029997","ENSG00000197841","ENSG00000197841"
"168","COX19","NM_001031617","ENSG00000189201","ENSG00000240230"
"169","SRSF7","NM_001031684","ENSG00000115875","ENSG00000115875"
"170","PLAA","NM_001031689","ENSG00000137055","ENSG00000137055"
"171","ELP6","NM_001031703","ENSG00000163832","ENSG00000163832"
"172","CCDC90A","NM_001031713","ENSG00000050393",NA
"173","DDX59","NM_001031725","ENSG00000118197","ENSG00000118197"
"174","TMPO","NM_001032284","ENSG00000120802","ENSG00000120802"
"175","MINOS1","NM_001032363","ENSG00000173436","ENSG00000173436"
"176","RRM1","NM_001033","ENSG00000167325","ENSG00000167325"
"177","RPAIN","NM_001033002","ENSG00000129197","ENSG00000129197"
"178","NGRN","NM_001033088","ENSG00000182768","ENSG00000182768"
"179","ACOT9","NM_001033583","ENSG00000123130","ENSG00000123130"
"180","ITPRIPL2","NM_001034841","ENSG00000205730","ENSG00000205730"
"181","C18orf32","NM_001035005","ENSG00000177576","ENSG00000177576"
"182","SRA1","NM_001035235","ENSG00000213523","ENSG00000213523"
"183","BOLA3","NM_001035505","ENSG00000163170","ENSG00000163170"
"184","NPRL3","NM_001039476","ENSG00000103148","ENSG00000103148"
"185","USP9X","NM_001039590","ENSG00000124486","ENSG00000124486"
"186","IAH1","NM_001039613","ENSG00000134330","ENSG00000134330"
"187","CREBZF","NM_001039618","ENSG00000137504","ENSG00000137504"
"188","SNAPC3","NM_001039697","ENSG00000164975","ENSG00000164975"
"189","COA3","NM_001040431","ENSG00000183978","ENSG00000183978"
"190","YARS2","NM_001040436","ENSG00000139131","ENSG00000139131"
"191","ASB1","NM_001040445","ENSG00000065802","ENSG00000065802"
"192","LINS","NM_001040616","ENSG00000140471",NA
"193","PPAN-P2RY11","NM_001040664","ENSG00000221848","ENSG00000243207"
"194","UEVLD","NM_001040697","ENSG00000151116","ENSG00000151116"
"195","PGP","NM_001042371","ENSG00000184207","ENSG00000184207"
"196","PSPC1","NM_001042414","ENSG00000121390","ENSG00000121390"
"197","PIGY","NM_001042616","ENSG00000145337","ENSG00000255072"
"198","ZSWIM7","NM_001042697","ENSG00000214941","ENSG00000214941"
"199","MSMP","NM_001044264","ENSG00000215183","ENSG00000215183"
"200","TOP2B","NM_001068","ENSG00000077097","ENSG00000077097"
"201","PNKD","NM_001077399","ENSG00000127838","ENSG00000127838"
"202","WTH3DI","NM_001077637","ENSG00000185023","ENSG00000233087"
"203","URGCP","NM_001077664","ENSG00000106608","ENSG00000106608"
"204","MIER1","NM_001077701","ENSG00000198160","ENSG00000198160"
"205","FAM127B","NM_001078172","ENSG00000203950",NA
"206","HNRNPUL2","NM_001079559","ENSG00000214753","ENSG00000214753"
"207","FTO","NM_001080432","ENSG00000140718","ENSG00000140718"
"208","GPR108","NM_001080452","ENSG00000125734","ENSG00000125734"
"209","INTS1","NM_001080453","ENSG00000164880","ENSG00000164880"
"210","RGP1","NM_001080496","ENSG00000107185","ENSG00000107185"
"211","TMEM223","NM_001080501","ENSG00000168569","ENSG00000168569"
"212","METTL23","NM_001080510","ENSG00000181038","ENSG00000181038"
"213","SETD5","NM_001080517","ENSG00000168137","ENSG00000168137"
"214","DNLZ","NM_001080849","ENSG00000213221","ENSG00000213221"
"215","EARS2","NM_001083614","ENSG00000103356","ENSG00000103356"
"216","PLOD3","NM_001084","ENSG00000106397","ENSG00000106397"
"217","MZT2A","NM_001085365","ENSG00000173272","ENSG00000173272"
"218","C11orf83","NM_001085372","ENSG00000204922",NA
"219","CTNND1","NM_001085458","ENSG00000198561","ENSG00000198561"
"220","MAP1LC3B2","NM_001085481","ENSG00000171471","ENSG00000258102"
"221","AAMP","NM_001087","ENSG00000127837","ENSG00000127837"
"222","UQCRHL","NM_001089591","ENSG00000173660","ENSG00000233954"
"223","ABCF1","NM_001090","ENSG00000204574","ENSG00000231129"
"224","ABCF1","NM_001090","ENSG00000204574","ENSG00000204574"
"225","ABCF1","NM_001090","ENSG00000204574","ENSG00000236342"
"226","ABCF1","NM_001090","ENSG00000204574","ENSG00000232169"
"227","ABCF1","NM_001090","ENSG00000204574","ENSG00000225989"
"228","ABCF1","NM_001090","ENSG00000204574","ENSG00000206490"
"229","ABCF1","NM_001090","ENSG00000204574","ENSG00000236149"
"230","ACLY","NM_001096","ENSG00000131473","ENSG00000131473"
"231","ZNF506","NM_001099269","ENSG00000198153","ENSG00000081665"
"232","CCNK","NM_001099402","ENSG00000090061","ENSG00000090061"
"233","POM121C","NM_001099415","ENSG00000135213","ENSG00000272391"
"234","ULK3","NM_001099436","ENSG00000140474","ENSG00000140474"
"235","C8orf59","NM_001099670","#N/D","ENSG00000176731"
"236","EIF5AL1","NM_001099692","ENSG00000132507","ENSG00000253626"
"237","TMEM192","NM_001100389","ENSG00000170088","ENSG00000170088"
"238","PDS5A","NM_001100399","ENSG00000121892","ENSG00000121892"
"239","C19orf60","NM_001100418","ENSG00000006015","ENSG00000006015"
"240","ACVR1","NM_001105","ENSG00000115170","ENSG00000115170"
"241","ZNF142","NM_001105537","ENSG00000115568","ENSG00000115568"
"242","FBXO45","NM_001105573","ENSG00000174013","ENSG00000174013"
"243","TMEM87A","NM_001110503","ENSG00000103978","ENSG00000103978"
"244","NACA","NM_001113202","ENSG00000196531","ENSG00000196531"
"245","TBC1D14","NM_001113363","ENSG00000132405","ENSG00000132405"
"246","C17orf51","NM_001113434","#N/D","ENSG00000212719"
"247","C17orf85","NM_001114118","ENSG00000074356",NA
"248","SZRD1","NM_001114600","ENSG00000055070","ENSG00000055070"
"249","JMJD7","NM_001114632","ENSG00000168970","ENSG00000243789"
"250","LIN54","NM_001115007","ENSG00000189308","ENSG00000189308"
"251","KANSL3","NM_001115016","ENSG00000114982","ENSG00000114982"
"252","CCBL1","NM_001122672","ENSG00000171097",NA
"253","ADK","NM_001123","ENSG00000156110","ENSG00000156110"
"254","ARIH2OS","NM_001123040","ENSG00000221883","ENSG00000221883"
"255","ADPRH","NM_001125","ENSG00000144843","ENSG00000144843"
"256","AP1B1","NM_001127","ENSG00000100280","ENSG00000100280"
"257","AP1G1","NM_001128","ENSG00000166747","ENSG00000166747"
"258","PMS1","NM_001128144","ENSG00000064933","ENSG00000064933"
"259","TPRN","NM_001128228","ENSG00000176058","ENSG00000176058"
"260","PSMG4","NM_001128591","ENSG00000180822","ENSG00000180822"
"261","LUZP6","NM_001128619","ENSG00000105887","ENSG00000267697"
"262","AES","NM_001130","ENSG00000104964","ENSG00000104964"
"263","C7orf73","NM_001130929","#N/D","ENSG00000243317"
"264","TOMM6","NM_001134493","ENSG00000214736","ENSG00000214736"
"265","ZNF397","NM_001135178","ENSG00000186812","ENSG00000186812"
"266","TPRA1","NM_001136053","ENSG00000163870","ENSG00000163870"
"267","R3HCC1","NM_001136108","ENSG00000104679","ENSG00000104679"
"268","ATXN7L3B","NM_001136262","ENSG00000180632","ENSG00000253719"
"269","CISD3","NM_001136498","#N/D","ENSG00000277972"
"270","CISD3","NM_001136498","#N/D","ENSG00000274768"
"271","ATXN1L","NM_001137675","#N/D","ENSG00000224470"
"272","GHDC","NM_001142623","ENSG00000167925","ENSG00000167925"
"273","FBRSL1","NM_001142641","ENSG00000112787","ENSG00000112787"
"274","GSTK1","NM_001143681","ENSG00000197448","ENSG00000197448"
"275","LOC729020","NM_001143909","ENSG00000219471",NA
"276","C2orf74","NM_001143960","ENSG00000214587","ENSG00000237651"
"277","PHB2","NM_001144831","ENSG00000215021","ENSG00000215021"
"278","ZNF814","NM_001144989","#N/D","ENSG00000204514"
"279","USP27X","NM_001145073","ENSG00000180991","ENSG00000273820"
"280","ZNF805","NM_001145078","ENSG00000204524","ENSG00000204524"
"281","C4orf52","NM_001145432","ENSG00000180408",NA
"282","XPC","NM_001145769","ENSG00000154767","ENSG00000154767"
"283","MEF2BNB","NM_001145783","#N/D",NA
"284","PARP9","NM_001146106","ENSG00000138496","ENSG00000138496"
"285","TATDN1","NM_001146160","ENSG00000147687","ENSG00000147687"
"286","SLC25A5","NM_001152","ENSG00000005022","ENSG00000005022"
"287","ANXA6","NM_001155","ENSG00000197043","ENSG00000197043"
"288","ANXA7","NM_001156","ENSG00000138279","ENSG00000138279"
"289","SETD6","NM_001160305","ENSG00000103037","ENSG00000103037"
"290","NUDT2","NM_001161","ENSG00000164978","ENSG00000164978"
"291","FBXL17","NM_001163315","ENSG00000145743","ENSG00000145743"
"292","RAB2B","NM_001163380","ENSG00000129472","ENSG00000129472"
"293","MYEOV2","NM_001163424","ENSG00000172428",NA
"294","TMED7-TICAM2","NM_001164468","#N/D","ENSG00000251201"
"295","ASXL1","NM_001164603","ENSG00000171456","ENSG00000171456"
"296","PET117","NM_001164811","#N/D","ENSG00000232838"
"297","IDE","NM_001165946","ENSG00000119912","ENSG00000119912"
"298","BIRC2","NM_001166","ENSG00000110330","ENSG00000110330"
"299","NR3C2","NM_001166104","ENSG00000151623","ENSG00000151623"
"300","XIAP","NM_001167","ENSG00000101966","ENSG00000101966"
"301","CXorf56","NM_001170569","ENSG00000018610","ENSG00000018610"
"302","PET100","NM_001171155","#N/D","ENSG00000229833"
"303","MCPH1","NM_001172574","#N/D","ENSG00000147316"
"304","ARHGAP5","NM_001173","ENSG00000100852","ENSG00000100852"
"305","DGCR2","NM_001173533","#N/D","ENSG00000070413"
"306","ZBED6","NM_001174108","#N/D","ENSG00000257315"
"307","ARL1","NM_001177","ENSG00000120805","ENSG00000120805"
"308","ATP6AP1","NM_001183","ENSG00000071553","ENSG00000071553"
"309","BCAT2","NM_001190","ENSG00000105552","ENSG00000105552"
"310","IP6K2","NM_001190316","#N/D","ENSG00000068745"
"311","BCL2L1","NM_001191","ENSG00000171552","ENSG00000171552"
"312","SIRT6","NM_001193285","#N/D","ENSG00000077463"
"313","TUBD1","NM_001193612","#N/D","ENSG00000108423"
"314","ANKRD28","NM_001195098","#N/D","ENSG00000206560"
"315","CAMTA1","NM_001195563","#N/D","ENSG00000171735"
"316","ZNF865","NM_001195605","#N/D","ENSG00000261221"
"317","MLLT10","NM_001195628","#N/D","ENSG00000078403"
"318","THAP3","NM_001195752","#N/D","ENSG00000041988"
"319","ASCC1","NM_001198798","#N/D","ENSG00000138303"
"320","RBM14-RBM4","NM_001198845","#N/D","ENSG00000248643"
"321","ATP5J2-PTCD1","NM_001198879","#N/D","ENSG00000248919"
"322","C15orf38-AP3S2","NM_001199058","#N/D","ENSG00000250021"
"323","TRIM39-RPP21","NM_001199119","#N/D","ENSG00000248167"
"324","TGIF2-C20orf24","NM_001199535","#N/D","ENSG00000259399"
"325","PMF1-BGLAP","NM_001199661","#N/D","ENSG00000260238"
"326","GGCT","NM_001199816","#N/D","ENSG00000006625"
"327","NEDD8-MDP1","NM_001199823","#N/D","ENSG00000255526"
"328","BCL2L2-PABPN1","NM_001199864","#N/D","ENSG00000258643"
"329","PDK2","NM_001199900","#N/D","ENSG00000005882"
"330","ZNF513","NM_001201459","#N/D","ENSG00000163795"
"331","ASB6","NM_001202403","#N/D","ENSG00000148331"
"332","HSPE1-MOB4","NM_001202485","#N/D","ENSG00000270757"
"333","SYNJ2BP-COX16","NM_001202547","#N/D","ENSG00000258644"
"334","CHURC1-FNTB","NM_001202558","#N/D","ENSG00000125954"
"335","NDUFC2-KCTD14","NM_001203260","#N/D","ENSG00000259112"
"336","COMMD3-BMI1","NM_001204062","#N/D","ENSG00000269897"
"337","ZHX1-C8ORF76","NM_001204180","#N/D",NA
"338","BIVM-ERCC5","NM_001204425","#N/D","ENSG00000270181"
"339","TNFAIP8L2-SCNM1","NM_001204848","#N/D",NA
"340","ISY1-RAB43","NM_001204890","#N/D","ENSG00000261796"
"341","BNIP1","NM_001205","ENSG00000113734","ENSG00000113734"
"342","KLF9","NM_001206","ENSG00000119138","ENSG00000119138"
"343","MAVS","NM_001206491","#N/D","ENSG00000088888"
"344","ATF7","NM_001206682","#N/D","ENSG00000170653"
"345","BTF3","NM_001207","ENSG00000145741","ENSG00000145741"
"346","C1QBP","NM_001212","ENSG00000108561","ENSG00000108561"
"347","CALU","NM_001219","ENSG00000128595","ENSG00000128595"
"348","CASP7","NM_001227","ENSG00000165806","ENSG00000165806"
"349","CASP9","NM_001229","ENSG00000132906","ENSG00000132906"
"350","CCNH","NM_001239","ENSG00000134480","ENSG00000134480"
"351","ACSS2","NM_001242393","#N/D","ENSG00000131069"
"352","LOC100289561","NM_001242713","#N/D",NA
"353","GLRX2","NM_001243399","#N/D","ENSG00000023572"
"354","GFOD2","NM_001243650","#N/D","ENSG00000141098"
"355","FAM178A","NM_001243770","#N/D",NA
"356","CEP57","NM_001243777","#N/D","ENSG00000166037"
"357","C7orf55-LUC7L2","NM_001244584","#N/D","ENSG00000269955"
"358","ENTPD6","NM_001247","ENSG00000197586","ENSG00000197586"
"359","BBS4","NM_001252678","#N/D","ENSG00000140463"
"360","CDC5L","NM_001253","ENSG00000096401","ENSG00000096401"
"361","CYB5D2","NM_001254755","#N/D","ENSG00000167740"
"362","CDC27","NM_001256","ENSG00000004897","ENSG00000004897"
"363","ZNF620","NM_001256167","#N/D","ENSG00000177842"
"364","ARAF","NM_001256197","#N/D","ENSG00000078061"
"365","PDLIM5","NM_001256425","#N/D","ENSG00000163110"
"366","CSNK2A3","NM_001256686","#N/D","ENSG00000254598"
"367","FBXW7","NM_001257069","#N/D","ENSG00000109670"
"368","FAM173B","NM_001258388","#N/D","ENSG00000150756"
"369","CDK8","NM_001260","ENSG00000132964","ENSG00000132964"
"370","CDK9","NM_001261","ENSG00000136807","ENSG00000136807"
"371","AARSD1","NM_001261434","#N/D","ENSG00000266967"
"372","MCU","NM_001270680","#N/D","ENSG00000156026"
"373","STRIP1","NM_001270768","#N/D","ENSG00000143093"
"374","IST1","NM_001270977","#N/D","ENSG00000182149"
"375","TTC19","NM_001271420","#N/D","ENSG00000011295"
"376","PEX11A","NM_001271573","#N/D","ENSG00000166821"
"377","LOC100129361","NM_001271592","#N/D",NA
"378","THADA","NM_001271643","#N/D","ENSG00000115970"
"379","ZNF138","NM_001271649","#N/D","ENSG00000197008"
"380","LOC441155","NM_001271675","#N/D",NA
"381","IKZF5","NM_001271840","#N/D","ENSG00000095574"
"382","TRAP1","NM_001272049","#N/D","ENSG00000126602"
"383","C16orf91","NM_001272051","#N/D","ENSG00000174109"
"384","CHD4","NM_001273","ENSG00000111642","ENSG00000111642"
"385","NISCH","NM_001276293","#N/D","ENSG00000010322"
"386","CHUK","NM_001278","ENSG00000213341","ENSG00000213341"
"387","TBCB","NM_001281","ENSG00000105254","ENSG00000105254"
"388","AP3S1","NM_001284","ENSG00000177879","ENSG00000177879"
"389","CLCN7","NM_001287","ENSG00000103249","ENSG00000103249"
"390","CLNS1A","NM_001293","ENSG00000074201","ENSG00000074201"
"391","CLPTM1","NM_001294","ENSG00000104853","ENSG00000104853"
"392","CPD","NM_001304","ENSG00000108582","ENSG00000108582"
"393","CSNK2B","NM_001320","ENSG00000206406","ENSG00000204435"
"394","CSNK2B","NM_001320","ENSG00000206406","ENSG00000230700"
"395","CSNK2B","NM_001320","ENSG00000206406","ENSG00000206406"
"396","CSNK2B","NM_001320","ENSG00000206406","ENSG00000228875"
"397","CSNK2B","NM_001320","ENSG00000206406","ENSG00000224774"
"398","CSNK2B","NM_001320","ENSG00000206406","ENSG00000224398"
"399","CSNK2B","NM_001320","ENSG00000206406","ENSG00000232960"
"400","CSTF1","NM_001324","ENSG00000101138","ENSG00000101138"
"401","CTBP1","NM_001328","ENSG00000159692","ENSG00000159692"
"402","DAD1","NM_001344","ENSG00000129562","ENSG00000129562"
"403","DARS","NM_001349","ENSG00000115866","ENSG00000115866"
"404","DAXX","NM_001350","ENSG00000206206","ENSG00000204209"
"405","DAXX","NM_001350","ENSG00000206206","ENSG00000206279"
"406","DAXX","NM_001350","ENSG00000206206","ENSG00000206206"
"407","DAXX","NM_001350","ENSG00000206206","ENSG00000231617"
"408","DAXX","NM_001350","ENSG00000206206","ENSG00000227046"
"409","DAXX","NM_001350","ENSG00000206206","ENSG00000229396"
"410","DDX3X","NM_001356","ENSG00000215301","ENSG00000215301"
"411","DHX9","NM_001357","ENSG00000135829","ENSG00000135829"
"412","DHX15","NM_001358","ENSG00000109606","ENSG00000109606"
"413","DKC1","NM_001363","ENSG00000130826","ENSG00000130826"
"414","DNASE2","NM_001375","ENSG00000105612","ENSG00000105612"
"415","DPAGT1","NM_001382","ENSG00000172269","ENSG00000172269"
"416","DPH1","NM_001383","ENSG00000108963","ENSG00000108963"
