Ensembl	species	Gene	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
ENSG00000101017	Mm Hs	CD40	Astrocytes	Bp50|TNFRSF5	0.012	CD40 molecule	protein-coding gene	1	Ectoderm	Brain	0	0	0.0131827	0.0110704
ENSG00000079215	Mm Hs	SLC1A3	Astrocytes	EAAT1|GLAST|EA6	0.074	solute carrier family 1 member 3	protein-coding gene	1	Ectoderm	Brain	1	0.967213	0.00910232	0.0727106
ENSG00000068078	Mm Hs	FGFR3	Astrocytes	CEK2|JTK4|CD333|ACH	0.021	fibroblast growth factor receptor 3	protein-coding gene	1	Ectoderm	Brain	1	0.681967	0.00910232	0.0106773
ENSG00000121742	Mm Hs	GJB6	Astrocytes	EDH|CX30|ED2	0.013	gap junction protein beta 6	protein-coding gene	1	Ectoderm	Brain	0	0.534426	0.000313873	0.00563343
ENSG00000171885	Mm Hs	AQP4	Astrocytes	MIWC	0.024	aquaporin 4	protein-coding gene	1	Ectoderm	Brain	1	0.878689	0.00408035	0.012446
ENSG00000166033	Mm Hs	HTRA1	Astrocytes	HtrA|IGFBP5-protease|ARMD7|PRSS11	0.065	HtrA serine peptidase 1	protein-coding gene	1	Ectoderm	Brain	0	0.84918	0.0338983	0.0573169
ENSG00000143546	Mm Hs	S100A8	Astrocytes	P8|CGLA|CAGA	0.064	S100 calcium binding protein A8	protein-coding gene	1	Ectoderm	Brain	0	0	0.0800377	0.0599371
ENSG00000134873	Mm Hs	CLDN10	Astrocytes	OSP-L|CPETRL3	0.028	claudin 10	protein-coding gene	1	Ectoderm	Brain	0	0.718033	0.0238544	0.0165073
ENSG00000162267	Mm Hs	ITIH3	Astrocytes	H3P	0.009	inter-alpha-trypsin inhibitor heavy chain 3	protein-coding gene	1	Ectoderm	Brain	0	0.360656	0.00345261	0.0039303
ENSG00000101198	Mm Hs	NKAIN4	Astrocytes	bA261N11.2|FAM77A|C20orf58	0.036	sodium/potassium transporting ATPase interacting 4	protein-coding gene	1	Ectoderm	Brain	0.166667	0.668852	0.00878845	0.0296083
ENSG00000164398	Mm Hs	ACSL6	Astrocytes	KIAA0837|LACS5|FACL6	0.022	acyl-CoA synthetase long chain family member 6	protein-coding gene	NA	Ectoderm	Brain	0	0.832787	0.0144382	0.00786061
ENSG00000103740	Mm Hs	ACSBG1	Astrocytes	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG	0.023	acyl-CoA synthetase bubblegum family member 1	protein-coding gene	1	Ectoderm	Brain	0	0.796721	0	0.0132975
ENSG00000176734	Mm Hs	TRIL	Astrocytes	KIAA0644	0.023	TLR4 interactor with leucine rich repeats	protein-coding gene	1	Ectoderm	Brain	0	0.606557	0.00345261	0.0167038
ENSG00000135744	Mm Hs	AGT	Astrocytes	SERPINA8	0.02	angiotensinogen	protein-coding gene	1	Ectoderm	Brain	0.833333	0.622951	0.0144382	0.00943273
ENSG00000170075	Mm Hs	GPR37L1	Astrocytes	ETBR-LP-2	0.041	G protein-coupled receptor 37 like 1	protein-coding gene	1	Ectoderm	Brain	1	0.977049	0.00251099	0.0322285
ENSG00000080493	Mm Hs	SLC4A4	Astrocytes	NBC1|HNBC1|NBC2|pNBC|hhNMC|SLC4A5	0.033	solute carrier family 4 member 4	protein-coding gene	1	Ectoderm	Brain	0.166667	0.957377	0.0119272	0.0206996
ENSG00000169006	Mm Hs	NTSR2	Astrocytes	NTR2	0.019	neurotensin receptor 2	protein-coding gene	1	Ectoderm	Brain	0	0.977049	0	0.00504389
ENSG00000132164	Mm Hs	SLC6A11	Astrocytes	GAT3	0.02	solute carrier family 6 member 11	protein-coding gene	1	Ectoderm	Brain	0.833333	0.803279	0.000313873	0.0090397
ENSG00000126803	Mm Hs	HSPA2	Astrocytes	NA	0.03	heat shock protein family A (Hsp70) member 2	protein-coding gene	1	Ectoderm	Brain	0	0.121311	0.0430006	0.0271191
ENSG00000147100	Mm Hs	SLC16A2	Astrocytes	XPCT|MCT8|DXS128|AHDS|MRX22	0.023	solute carrier family 16 member 2	protein-coding gene	1	Ectoderm	Brain	0	0.0131148	0.00345261	0.0278396
ENSG00000131018	Mm Hs	SYNE1	Astrocytes	SYNE-1B|KIAA0796|8B|Nesprin-1|enaptin|MYNE1|CPG2|dJ45H2.2|SCAR8|ARCA1|Nesp1|C6orf98	0.05	spectrin repeat containing nuclear envelope protein 1	protein-coding gene	1	Ectoderm	Brain	0.666667	0.154098	0.0141243	0.0552863
ENSG00000211448	Mm Hs	DIO2	Astrocytes	TXDI2|SelY	0.003	iodothyronine deiodinase 2	protein-coding gene	1	Ectoderm	Brain	0	0.0491803	0.00564972	0.00137561
ENSG00000130876	Mm Hs	SLC7A10	Astrocytes	asc-1	0.005	solute carrier family 7 member 10	protein-coding gene	1	Ectoderm	Brain	0	0.252459	0.000627746	0.000589545
ENSG00000054179	Mm Hs	ENTPD2	Astrocytes	NTPDase-2|CD39L1	0.012	ectonucleoside triphosphate diphosphohydrolase 2	protein-coding gene	1	Ectoderm	Brain	0	0.108197	0.00094162	0.012708
ENSG00000004776	Mm Hs	HSPB6	Astrocytes	FLJ32389|Hsp20|PPP1R91	0.005	heat shock protein family B (small) member 6	protein-coding gene	1	Ectoderm	Brain	0	0.00327869	0.00188324	0.00622298
ENSG00000164050	Mm Hs	PLXNB1	Astrocytes	KIAA0407|PLXN5	0.006	plexin B1	protein-coding gene	1	Ectoderm	Brain	0.833333	0.0688525	0.000627746	0.00556793
ENSG00000213398	Mm Hs	LCAT	Astrocytes	NA	0.005	lecithin-cholesterol acyltransferase	protein-coding gene	1	Ectoderm	Brain	0	0.213115	0.000313873	0.00170313
ENSG00000146070	Mm Hs	PLA2G7	Astrocytes	LDL-PLA2	0.048	phospholipase A2 group VII	protein-coding gene	1	Ectoderm	Brain	0	0.908197	0.0116133	0.039434
ENSG00000166091	Mm Hs	CMTM5	Astrocytes	FLJ37521|CKLFSF5	0.044	CKLF like MARVEL transmembrane domain containing 5	protein-coding gene	1	Ectoderm	Brain	0	0.537705	0.00784683	0.0431678
ENSG00000170989	Mm Hs	S1PR1	Astrocytes	edg-1|D1S3362|CD363	0.044	sphingosine-1-phosphate receptor 1	protein-coding gene	1	Ectoderm	Brain	0	0.64918	0.0112994	0.0402856
ENSG00000148482	Mm Hs	SLC39A12	Astrocytes	FLJ30499	0.007	solute carrier family 39 member 12	protein-coding gene	1	Ectoderm	Brain	0	0.373771	0	0.00144111
ENSG00000187398	Mm Hs	LUZP2	Astrocytes	NA	0.037	leucine zipper protein 2	protein-coding gene	1	Ectoderm	Brain	0	0.508197	0.0047081	0.0364208
ENSG00000170899	Mm Hs	GSTA4	Astrocytes	NA	0.063	glutathione S-transferase alpha 4	protein-coding gene	1	Ectoderm	Brain	0	0.0786885	0.0596359	0.0626228
ENSG00000155287	Mm Hs	SLC25A28	Astrocytes	MRS3/4|MRS4L	0.007	solute carrier family 25 member 28	protein-coding gene	1	Ectoderm	Brain	0	0	0.0229127	0.00360278
ENSG00000164209	Mm Hs	SLC25A46	Astrocytes	NA	0.045	solute carrier family 25 member 46	protein-coding gene	1	Ectoderm	Brain	0	0.00983607	0.0263653	0.0498493
ENSG00000108379	Mm Hs	WNT3	Astrocytes	MGC131950|MGC138321|MGC138323	0.003	Wnt family member 3	protein-coding gene	1	Ectoderm	Brain	0	0	0.000627746	0.00340626
ENSG00000180340	Mm Hs	FZD2	Astrocytes	NA	0.012	frizzled class receptor 2	protein-coding gene	1	Ectoderm	Brain	0	0.101639	0.00784683	0.0103498
ENSG00000187079	Mm Hs	TEAD1	Astrocytes	TEF-1|TCF13|AA	0.027	TEA domain transcription factor 1	protein-coding gene	1	Ectoderm	Brain	0	0.0131148	0.0238544	0.0272501
ENSG00000140522	Mm Hs	RLBP1	Astrocytes	CRALBP	0.028	retinaldehyde binding protein 1	protein-coding gene	1	Ectoderm	Brain	0	0.00983607	0	0.0352417
ENSG00000109107	Mm Hs	ALDOC	Astrocytes	NA	0.078	"aldolase, fructose-bisphosphate C"	protein-coding gene	1	Ectoderm	Brain	0	1	0.00094162	0.0788026
ENSG00000152661	Mm Hs	GJA1	Astrocytes	CX43|ODOD|SDTY3|ODDD|GJAL	0.1	gap junction protein alpha 1	protein-coding gene	1	Ectoderm	Brain	1	0.993443	0.0615191	0.0887593
ENSG00000148346	Mm Hs	LCN2	Astrocytes	NGAL|24p3	0.043	lipocalin 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.056811	0.0426438
ENSG00000125398	Mm Hs	SOX9	Astrocytes	SRA1|CMD1|CMPD1	0.086	SRY-box 9	protein-coding gene	1	Ectoderm	Brain	0	0.662295	0.0323289	0.0895454
ENSG00000126353	Mm Hs	CCR7	Astrocytes	BLR2|CDw197|CD197|CMKBR7|EBI1	0.016	C-C motif chemokine receptor 7	protein-coding gene	1	Ectoderm	Brain	0	0	0.042059	0.0116599
ENSG00000184557	Mm Hs	SOCS3	Astrocytes	SSI-3|CIS3|SOCS-3|Cish3	0.081	suppressor of cytokine signaling 3	protein-coding gene	1	Ectoderm	Brain	0	0.0491803	0.0944758	0.0806367
ENSG00000182253	Mm Hs	SYNM	Astrocytes	KIAA0353|DMN	0.017	synemin	protein-coding gene	1	Ectoderm	Brain	0	0	0.00094162	0.0210271
ENSG00000140382	Mm Hs	HMG20A	Astrocytes	HMGX1|FLJ10739|HMGXB1	0.008	high mobility group 20A	protein-coding gene	1	Ectoderm	Brain	0	0	0.00784683	0.00890869
ENSG00000072736	Mm Hs	NFATC3	Astrocytes	NFAT4|NFATX	0.002	nuclear factor of activated T cells 3	protein-coding gene	1	Ectoderm	Brain	0	0	0.00627746	0.00144111
ENSG00000167720	Mm Hs	SRR	Astrocytes	ILV1	0.001	serine racemase	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.0012446
ENSG00000105143	Mm Hs	SLC1A6	Astrocytes	EAAT4	0.003	solute carrier family 1 member 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.00313873	0.00301323
ENSG00000134954	Mm Hs	ETS1	Astrocytes	FLJ10768|ETS-1	0.095	"ETS proto-oncogene 1, transcription factor"	protein-coding gene	1	Ectoderm	Brain	0	0	0.0389203	0.111424
ENSG00000187122	Mm Hs	SLIT1	Astrocytes	slit1|MEGF4|Slit-1|SLIT3|SLIL1	0.001	slit guidance ligand 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.000313873	0.00111359
ENSG00000101298	Mm Hs	SNPH	Astrocytes	bA314N13.5	0.004	syntaphilin	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.0051749
ENSG00000189056	Mm Hs	RELN	Cajal-Retzius cells	RL|PRO1598	0.018	reelin	protein-coding gene	1	Ectoderm	Brain	0	0.909605	0.00344612	0.0115629
ENSG00000184047	Mm Hs	DIABLO	Cajal-Retzius cells	SMAC|DIABLO-S|FLJ25049|FLJ10537|DFNA64	0.026	diablo IAP-binding mitochondrial protein	protein-coding gene	NA	Ectoderm	Brain	0	0.887006	0	0.0231909
ENSG00000115525	Mm Hs	ST3GAL5	Cajal-Retzius cells	ST3GalV|SIATGM3S|SIAT9	0.04	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"	protein-coding gene	NA	Ectoderm	Brain	0	0.757062	0.0128446	0.039301
ENSG00000066583	Mm Hs	ISOC1	Cajal-Retzius cells	CGI-111	0.022	isochorismatase domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0508475	0.0200501	0.0216968
ENSG00000112562	Mm Hs	SMOC2	Cajal-Retzius cells	SMAP2	0.026	SPARC related modular calcium binding 2	protein-coding gene	NA	Ectoderm	Brain	0	0.00564972	0.0178571	0.0290373
ENSG00000158560	Mm Hs	DYNC1I1	Cajal-Retzius cells	DNCIC1|DNCI1	0.022	dynein cytoplasmic 1 intermediate chain 1	protein-coding gene	NA	Ectoderm	Brain	0	0.779661	0.00250627	0.0183188
ENSG00000177551	Mm Hs	NHLH2	Cajal-Retzius cells	bHLHa34|HEN2	0.021	nescient helix-loop-helix 2	protein-coding gene	NA	Ectoderm	Brain	0	0.909605	0.00156642	0.0159153
ENSG00000158258	Mm Hs	CLSTN2	Cajal-Retzius cells	CSTN2|CS2|FLJ39113|CDHR13	0.014	calsyntenin 2	protein-coding gene	NA	Ectoderm	Brain	0	0.853107	0.00219298	0.00799013
ENSG00000152128	Mm Hs	TMEM163	Cajal-Retzius cells	DKFZP566N034|SV31	0.027	transmembrane protein 163	protein-coding gene	NA	Ectoderm	Brain	0	0.841808	0.000626566	0.0241003
ENSG00000007402	Mm Hs	CACNA2D2	Cajal-Retzius cells	KIAA0558	0.027	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding gene	NA	Ectoderm	Brain	0	0.943503	0.00125313	0.0239054
ENSG00000136425	Mm Hs	CIB2	Cajal-Retzius cells	DFNB48|USH1J	0.021	calcium and integrin binding family member 2	protein-coding gene	NA	Ectoderm	Brain	0	0.316384	0.0018797	0.0227361
ENSG00000173376	Mm Hs	NDNF	Cajal-Retzius cells	FLJ23191|C4orf31	0.017	neuron derived neurotrophic factor	protein-coding gene	NA	Ectoderm	Brain	0	0.915254	0.00626566	0.0102637
ENSG00000169783	Mm Hs	LINGO1	Cajal-Retzius cells	FLJ14594|LERN1|LRRN6A	0.019	leucine rich repeat and Ig domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0508475	0.0018797	0.0231909
ENSG00000144320	Mm Hs	LNPK	Cajal-Retzius cells	Ul|LNP1|KIAA1715	0.031	"lunapark, ER junction formation factor"	protein-coding gene	NA	Ectoderm	Brain	0	0.0508475	0.0238095	0.0333896
ENSG00000134758	Mm Hs	RNF138	Cajal-Retzius cells	STRIN|NARF	0.053	ring finger protein 138	protein-coding gene	NA	Ectoderm	Brain	0	0.0112994	0.0742481	0.0496947
ENSG00000205269	Mm Hs	TMEM170B	Cajal-Retzius cells	NA	0.027	transmembrane protein 170B	protein-coding gene	NA	Ectoderm	Brain	0	0.0847458	0	0.0324152
ENSG00000114770	Mm Hs	ABCC5	Cajal-Retzius cells	MRP5|SMRP|EST277145|MOAT-C	0.044	ATP binding cassette subfamily C member 5	protein-coding gene	NA	Ectoderm	Brain	0	0.220339	0.00438596	0.0520333
ENSG00000119865	Mm Hs	CNRIP1	Cajal-Retzius cells	DKFZP566K1924|CRIP1|CRIP1a|CRIP1b|C2orf32	0.031	cannabinoid receptor interacting protein 1	protein-coding gene	NA	Ectoderm	Brain	0	0.079096	0.0228697	0.0328699
ENSG00000108001	Mm Hs	EBF3	Cajal-Retzius cells	COE3|DKFZp667B0210	0.012	early B cell factor 3	protein-coding gene	NA	Ectoderm	Brain	0	0.310734	0.000626566	0.0118877
ENSG00000172461	Mm Hs	FUT9	Cajal-Retzius cells	Fuc-TIX	0.039	fucosyltransferase 9	protein-coding gene	NA	Ectoderm	Brain	0	0.0621469	0.0018797	0.0479408
ENSG00000130119	Mm Hs	GNL3L	Cajal-Retzius cells	FLJ10613|GNL3B	0.053	G protein nucleolar 3 like	protein-coding gene	NA	Ectoderm	Brain	0	0.175141	0.000313283	0.0649604
ENSG00000164978	Mm Hs	NUDT2	Cajal-Retzius cells	APAH1	0.03	nudix hydrolase 2	protein-coding gene	NA	Ectoderm	Brain	0	0.107345	0.0366541	0.0253345
ENSG00000164209	Mm Hs	SLC25A46	Cajal-Retzius cells	NA	0.045	solute carrier family 25 member 46	protein-coding gene	NA	Ectoderm	Brain	0	0.175141	0.0263158	0.047616
ENSG00000185115	Mm Hs	NSMCE3	Cajal-Retzius cells	HCA4|MAGEG1|MAGEL3|NSE3|NDNL2	0.048	"NSE3 homolog, SMC5-SMC6 complex component"	protein-coding gene	NA	Ectoderm	Brain	0	0.0847458	0.0222431	0.0534624
ENSG00000165659	Mm Hs	DACH1	Cajal-Retzius cells	DACH	0.013	dachshund family transcription factor 1	protein-coding gene	NA	Ectoderm	Brain	0	0.288136	0.0275689	0.00799013
ENSG00000165716	Mm Hs	FAM69B	Cajal-Retzius cells	MGC20262|C9orf136	0.034	family with sequence similarity 69 member B	protein-coding gene	NA	Ectoderm	Brain	0	0.141243	0.000626566	0.0417046
ENSG00000103942	Mm Hs	HOMER2	Cajal-Retzius cells	CPD|Cupidin|Vesl-2|HOMER-2B|HOMER-2|HOMER-2A|DFNA68	0.022	homer scaffold protein 2	protein-coding gene	NA	Ectoderm	Brain	0	0.237288	0.0100251	0.0223464
ENSG00000164114	Mm Hs	MAP9	Cajal-Retzius cells	ASAP|FLJ21159	0.037	microtubule associated protein 9	protein-coding gene	NA	Ectoderm	Brain	0	0.141243	0.0335213	0.0378719
ENSG00000197959	Mm Hs	DNM3	Cajal-Retzius cells	KIAA0820	0.043	dynamin 3	protein-coding gene	NA	Ectoderm	Brain	0	0.146893	0.00313283	0.0526179
ENSG00000163818	Mm Hs	LZTFL1	Cajal-Retzius cells	BBS17	0.026	leucine zipper transcription factor like 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0225989	0.0181704	0.0287774
ENSG00000105255	Mm Hs	FSD1	Cajal-Retzius cells	MGC3213|MIR1	0.015	fibronectin type III and SPRY domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0	0.158192	0.0175439	0.0122126
ENSG00000172465	Mm Hs	TCEAL1	Cajal-Retzius cells	pp21|SIIR|WEX9	0.017	transcription elongation factor A like 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0734463	0.0178571	0.0159803
ENSG00000107560	Mm Hs	RAB11FIP2	Cajal-Retzius cells	KIAA0941|nRip11|Rab11-FIP2	0.04	RAB11 family interacting protein 2	protein-coding gene	NA	Ectoderm	Brain	0	0.305085	0.00219298	0.0473561
ENSG00000143032	Mm Hs	BARHL2	Cajal-Retzius cells	NA	0.004	BarH like homeobox 2	protein-coding gene	NA	Ectoderm	Brain	0	0.169492	0	0.00331298
ENSG00000166326	Mm Hs	TRIM44	Cajal-Retzius cells	DIPB|MC7	0.055	tripartite motif containing 44	protein-coding gene	NA	Ectoderm	Brain	0	0.0564972	0.0679825	0.0485904
ENSG00000091664	Mm Hs	SLC17A6	Cajal-Retzius cells	DNPI|VGLUT2	0.016	solute carrier family 17 member 6	protein-coding gene	NA	Ectoderm	Brain	0	0.214689	0.000313283	0.0178641
ENSG00000172318	Mm Hs	B3GALT1	Cajal-Retzius cells	beta3Gal-T1	0.005	"beta-1,3-galactosyltransferase 1"	protein-coding gene	NA	Ectoderm	Brain	0	0.107345	0.00313283	0.0037677
ENSG00000165300	Mm Hs	SLITRK5	Cajal-Retzius cells	bA364G4.2|KIAA0918|LRRC11	0.009	SLIT and NTRK like family member 5	protein-coding gene	NA	Ectoderm	Brain	0	0.0677966	0	0.0113031
ENSG00000187672	Mm Hs	ERC2	Cajal-Retzius cells	CAST1|KIAA0378|SPBC110|Spc110|ELKSL	0.03	ELKS/RAB6-interacting/CAST family member 2	protein-coding gene	NA	Ectoderm	Brain	0	0.327684	0.000313283	0.0341042
ENSG00000172915	Mm Hs	NBEA	Cajal-Retzius cells	KIAA1544|BCL8B|FLJ10197|LYST2	0.032	neurobeachin	protein-coding gene	NA	Ectoderm	Brain	0	0.039548	0.00469925	0.0387813
ENSG00000114120	Mm Hs	SLC25A36	Cajal-Retzius cells	FLJ10618|PNC2	0.059	solute carrier family 25 member 36	protein-coding gene	NA	Ectoderm	Brain	0	0.124294	0.0755013	0.0535273
ENSG00000204186	Mm Hs	ZDBF2	Cajal-Retzius cells	FLJ45338|KIAA1571|Slx9	0.018	zinc finger DBF-type containing 2	protein-coding gene	NA	Ectoderm	Brain	0	0.0734463	0.000313283	0.0226062
ENSG00000107643	Mm Hs	MAPK8	Cajal-Retzius cells	JNK|JNK1|SAPK1|PRKM8	0.023	mitogen-activated protein kinase 8	protein-coding gene	NA	Ectoderm	Brain	0	0.39548	0.0194236	0.0207224
ENSG00000125965	Mm Hs	GDF5	Cajal-Retzius cells	CDMP1|BMP14	0.004	growth differentiation factor 5	protein-coding gene	NA	Ectoderm	Brain	0	0.485876	0	0
ENSG00000087085	Mm Hs	ACHE	Cajal-Retzius cells	YT	0.016	acetylcholinesterase (Cartwright blood group)	protein-coding gene	NA	Ectoderm	Brain	0	0.412429	0.00469925	0.0150708
ENSG00000136280	Mm Hs	CCM2	Cajal-Retzius cells	MGC4607|OSM|C7orf22	0.052	CCM2 scaffold protein	protein-coding gene	NA	Ectoderm	Brain	0	0.293785	0.0435464	0.0478108
ENSG00000116213	Mm Hs	WRAP73	Cajal-Retzius cells	WDR8	0.01	"WD repeat containing, antisense to TP73"	protein-coding gene	NA	Ectoderm	Brain	0	0.531073	0.00657895	0.00565155
ENSG00000157168	Mm Hs	NRG1	Cajal-Retzius cells	HRG|NDF|GGF|NRG1-IT2	0.012	neuregulin 1	protein-coding gene	NA	Ectoderm	Brain	0	0.186441	0.0128446	0.0107185
ENSG00000159363	Mm Hs	ATP13A2	Cajal-Retzius cells	HSA9947|CLN12|PARK9	0.034	ATPase cation transporting 13A2	protein-coding gene	NA	Ectoderm	Brain	0	0.779661	0.00469925	0.0326751
ENSG00000174469	Mm Hs	CNTNAP2	Cajal-Retzius cells	Caspr2|KIAA0868	0.037	contactin associated protein like 2	protein-coding gene	NA	Ectoderm	Brain	0	0.632768	0.0238095	0.0339093
ENSG00000168081	Mm Hs	PNOC	Cajal-Retzius cells	PPNOC|N/OFQ|NOP	0.009	prepronociceptin	protein-coding gene	NA	Ectoderm	Brain	0	0.282486	0.00093985	0.00682084
ENSG00000132130	Mm Hs	LHX1	Cajal-Retzius cells	LIM-1	0.011	LIM homeobox 1	protein-coding gene	NA	Ectoderm	Brain	0	0.757062	0.00657895	0.00402754
ENSG00000174482	Mm Hs	LINGO2	Cajal-Retzius cells	LERN3|LRRN6C	0.019	leucine rich repeat and Ig domain containing 2	protein-coding gene	NA	Ectoderm	Brain	0	0.740113	0.00219298	0.0154606
ENSG00000165323	Mm Hs	FAT3	Cajal-Retzius cells	KIAA1989|CDHF15|CDHR10	0.009	FAT atypical cadherin 3	protein-coding gene	NA	Ectoderm	Brain	0	0.548023	0.00250627	0.00467715
ENSG00000196220	Mm Hs	SRGAP3	Cajal-Retzius cells	KIAA0411|MEGAP|WRP|ARHGAP14|SRGAP2	0.018	SLIT-ROBO Rho GTPase activating protein 3	protein-coding gene	NA	Ectoderm	Brain	0	0.418079	0.0100251	0.01637
ENSG00000179242	Mm Hs	CDH4	Cajal-Retzius cells	NA	0.017	cadherin 4	protein-coding gene	NA	Ectoderm	Brain	0	0.819209	0.000313283	0.0112381
ENSG00000125848	Mm Hs	FLRT3	Cajal-Retzius cells	NA	0.027	fibronectin leucine rich transmembrane protein 3	protein-coding gene	NA	Ectoderm	Brain	0	0.836158	0.0153509	0.0210472
ENSG00000164176	Mm Hs	EDIL3	Cajal-Retzius cells	DEL1	0.045	EGF like repeats and discoidin domains 3	protein-coding gene	NA	Ectoderm	Brain	0	0.717514	0.0222431	0.0432636
ENSG00000174460	Mm Hs	ZCCHC12	Cajal-Retzius cells	FLJ16123|SIZN|SIZN1|PNMA7A	0.038	zinc finger CCHC-type containing 12	protein-coding gene	NA	Ectoderm	Brain	0	0.830508	0.000313283	0.0392361
ENSG00000116191	Mm Hs	RALGPS2	Cajal-Retzius cells	FLJ10244|FLJ25604	0.048	Ral GEF with PH domain and SH3 binding motif 2	protein-coding gene	NA	Ectoderm	Brain	0	0.79096	0.023183	0.047616
ENSG00000188916	Mm Hs	FAM196A	Cajal-Retzius cells	NA	0.009	"family with sequence similarity 196, member A"	protein coding gene	NA	Ectoderm	Brain	0	0.80791	0	0.00259841
ENSG00000170365	Mm Hs	SMAD1	Cajal-Retzius cells	MADR1|JV4-1|MADH1	0.036	SMAD family member 1	protein-coding gene	NA	Ectoderm	Brain	0	0.841808	0.0153509	0.0328699
ENSG00000136535	Mm Hs	TBR1	Cajal-Retzius cells	NA	0.018	"T-box, brain 1"	protein-coding gene	NA	Ectoderm	Brain	0	0.864407	0.00125313	0.0124724
ENSG00000184611	Mm Hs	KCNH7	Cajal-Retzius cells	Kv11.3|HERG3|erg3	0.012	potassium voltage-gated channel subfamily H member 7	protein-coding gene	NA	Ectoderm	Brain	0	0.819209	0.000626566	0.00584643
ENSG00000089116	Mm Hs	LHX5	Cajal-Retzius cells	NA	0.01	LIM homeobox 5	protein-coding gene	NA	Ectoderm	Brain	0	0.853107	0.00219298	0.00240353
ENSG00000172137	Mm Hs	CALB2	Cajal-Retzius cells	CAL2	0.03	calbindin 2	protein-coding gene	1	Ectoderm	Brain	0	0.881356	0.00281955	0.027803
ENSG00000170370	Mm Hs	EMX2	Cajal-Retzius cells	NA	0.027	empty spiracles homeobox 2	protein-coding gene	NA	Ectoderm	Brain	0	0.870057	0.0112782	0.0220216
ENSG00000043355	Mm Hs	ZIC2	Cajal-Retzius cells	HPE5	0.01	Zic family member 2	protein-coding gene	NA	Ectoderm	Brain	0	0.079096	0.0119048	0.00889957
ENSG00000188064	Mm Hs	WNT7B	Cajal-Retzius cells	NA	0.008	Wnt family member 7B	protein-coding gene	NA	Ectoderm	Brain	0	0.118644	0.00344612	0.00863973
ENSG00000108270	Mm Hs	AATF	Cajal-Retzius cells	DED|CHE-1|BFR2	0.018	apoptosis antagonizing transcription factor	protein-coding gene	NA	Ectoderm	Brain	0	0.0169492	0.0469925	0.0101338
ENSG00000188613	Mm Hs	NANOS1	Cajal-Retzius cells	NOS1|ZC2HC12A	0.002	nanos C2HC-type zinc finger 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0338983	0	0.00168897
