"SYMBOL","ENTREZ_GENE_ID"
"FAM13B",51306
"ARHGAP31",57514
"CENPQ",55166
"SARS",6301
"RANBP3",8498
"ARID4A",5926
"EIPR1",7260
"PNPLA6",10908
"IFT88",8100
"ALG1",56052
"ZCCHC8",55596
"ABCF2",10061
"CHPF2",54480
"FUT8",2530
"UBA6",55236
"GAB2",9846
"ATP6V0A1",535
"PIAS1",8554
"SLC4A7",9497
"APBA2",321
"MAP2K3",5606
"TMSB10",9168
"ASTE1",28990
"RNF19A",25897
"PEX3",8504
"GABARAPL2",11345
"SH3YL1",26751
"FAM136A",84908
"VCL",7414
"DEPDC1B",55789
"NSMAF",8439
"ADSS",159
"TIMP2",7077
"RFC1",5981
"TBC1D23",55773
"CUL3",8452
"",26009
"TUBG2",27175
"RPL26L1",51121
"FLT4",2324
"NSUN2",54888
"FBXO42",54455
"MFAP3",4238
"MRI1",84245
"METTL1",4234
"AGA",175
"PI4K2B",55300
"BOD1L1",259282
"MAT2B",27430
"EDC4",23644
"TRIO",7204
"VCAN",1462
"CLEC16A",23274
"MTREX",23517
"ZFYVE16",9765
"RIPOR1",79567
"RAI14",26064
"PNKP",11284
"PHLPP2",23035
"SPDL1",54908
"STAU2",27067
"SLC66A1",54896
"CTNS",1497
"RTN4R",65078
"PHF23",79142
"CDH10",1008
"INPP4A",3631
"PSMA4",5685
"LSG1",55341
"PARP3",10039
"TNC",3371
"THAP3",90326
"TDP1",55775
"AIFM2",84883
"SPATA7",55812
"MED17",9440
"RETSAT",54884
"CAPG",822
"AP2S1",1175
"DCUN1D1",54165
"ZIC2",7546
"TRIT1",54802
"CUL7",9820
"CTNNA1",1495
"PHKA2",5256
"CNTLN",54875
"EPHA3",2042
"HSPA5",3309
"DSG2",1829
"GEMIN8",54960
"OFD1",8481
"GPM6B",2824
"PREX2",80243
"WDR37",22884
"YTHDC2",64848
"CTPS2",56474
"ATP6V1H",51606
"POLR2B",5431
"FAM214A",56204
"TPR",7175
"CP",1356
"KIAA0556",23247
"DTNBP1",84062
"ANO2",57101
"C12orf4",57102
"SCML1",6322
"WWC3",55841
"ARHGAP6",395
"MAP4",4134
"GOPC",57120
"USP28",57646
"HDAC9",9734
"TSPAN17",26262
"NOP16",51491
"CC2D2A",57545
"RRM2B",50484
"ZNF800",168850
"SNX29",92017
"LMO3",55885
"MRPS10",55173
"RSF1",51773
"VPS13D",55187
"CELF2",10659
"FAM120A",23196
"R3HDM1",23518
"COL9A2",1298
"KITLG",4254
"ERCC8",1161
"H6PD",9563
"VAMP3",9341
"PER3",8863
"LTBP1",4052
"RCN1",5954
"RFC2",5982
"ARID1B",57492
"CLPTM1L",81037
"NEDD4L",23327
"PPP1R3F",89801
"HEXB",3074
"PTCD2",79810
"JKAMP",51528
"DKK3",27122
"NFE2L3",9603
"MCUR1",63933
"LIMA1",51474
"LETMD1",25875
"SLC4A8",9498
"LAMC3",10319
"MAPK9",5601
"COL23A1",91522
"BCAR1",9564
"FAM160A2",84067
"HERPUD1",9709
"HOMER3",9454
"RAD51",5888
"POLQ",10721
"PIK3CB",5291
"CYBA",1535
"THOC3",84321
"HEBP2",23593
"MPHOSPH9",10198
"PLEKHA5",54477
"SIKE1",80143
"RRP12",23223
"FNIP2",57600
"MSMO1",6307
"TTC17",55761
"ALX4",60529
"FOXN3",1112
"AKR7A2",8574
"MRTO4",51154
"NNAT",4826
"USE1",55850
"NRIP2",83714
"AP5M1",55745
"ANAPC4",29945
"TRAPPC3",27095
"THRAP3",9967
"PHPT1",29085
"ARID4B",51742
"OPN3",23596
"SDCCAG8",10806
"HHAT",55733
"KIF1B",23095
"FOXC1",2296
"TBC1D22A",25771
"SYNE2",23224
"PLEKHH1",57475
"ATP9A",10079
"FAM168A",23201
"RELT",84957
"GALC",2581
"NOP58",51602
"SZRD1",26099
"KCNH2",3757
"CUL1",8454
"FAM114A2",10827
"CYFIP2",26999
"TAB2",23118
"GINM1",116254
"EIF2AK2",5610
"USP36",57602
"KMT2C",58508
"PUM2",23369
"MRPL43",84545
"HPF1",54969
"ZFR",51663
"ZNF280C",55609
"PHF21B",112885
"RC3H2",54542
"IL17RB",55540
"GYG2",8908
"DCBLD2",131566
"SOAT1",6646
"PKP2",5318
"GDI2",2665
"ATG5",9474
"PITHD1",57095
"MTA3",57504
"USP13",8975
"ATP11B",23200
"CDK14",5218
"SEC61A1",29927
"PPP1R12A",4659
"CROCC",9696
"POLR3E",55718
"ATP2B4",493
"ZC3H11A",9877
"RIOK2",55781
"YIPF1",54432
"NDC1",55706
"FLYWCH1",84256
"UNKL",64718
"ALDH18A1",5832
"TARBP1",6894
"GATB",5188
"MXD1",4084
"CDK17",5128
"DNAJC25",548645
"SLC2A3",6515
"PSD",5662
"CTDP1",9150
"YBX3",8531
"WNK1",65125
"CCAR1",55749
"OGFR",11054
"PIGV",55650
"PTPRU",10076
"SNRNP40",9410
"COL11A1",1301
"QSER1",79832
"MPC1",51660
"ACAA1",30
"BCAT1",586
"HDAC7",51564
"LZTS1",11178
"NCKAP1",10787
"MRPS35",60488
"GUCY1B1",2983
"SFSWAP",6433
"TNK2",10188
"MON2",23041
"CDH3",1001
"GPBP1",65056
"ZNF112",7771
"CS",1431
"ELMO2",63916
"WAPL",23063
"VMP1",81671
"APPBP2",10513
"POLD1",5424
"EIF4B",1975
"SLC6A16",28968
"BICRA",29998
"SPHK2",56848
"RPL18",6141
"CA11",770
"ISOC2",79763
"U2AF2",11338
"EPN1",29924
"MED29",55588
"ZNF275",10838
"MTMR1",8776
"GPC1",2817
"ADCK1",57143
"HAGH",3029
"RNF4",6047
"LIMCH1",22998
"INTS13",55726
"TM7SF3",51768
"SPA17",53340
"ST3GAL6",10402
"NGFR",4804
"CDON",50937
"TAF2",6873
"HIPK2",28996
"TNPO3",23534
"RFXANK",8625
"TMEM161A",54929
"LPAR2",9170
"CTSA",5476
"SUGP2",10147
"SLC12A2",6558
"SNX24",28966
"CNN2",1265
"ABCA7",10347
"SNCAIP",9627
"DDX20",11218
"BTBD1",53339
"FAR2",55711
"SBNO2",22904
"PMS1",5378
"HMG20B",10362
"CALCRL",10203
"TAF11",6882
"ANKS1A",23294
"AP3D1",8943
"ZNF76",7629
"SLC9A3R2",9351
"NTHL1",4913
"UHRF1BP1",54887
"GNAI3",2773
"IPO5",3843
"OAT",4942
"WDR3",10885
"PKN2",5586
"WDR18",57418
"TRAM2",9697
"NTN1",9423
"MCM10",55388
"DGKA",1606
"ERBB3",2065
"ANKRD44",91526
"KARS",3735
"ADAT1",23536
"PDIA5",10954
"TBC1D22B",55633
"NDUFB4",4710
"SPEN",23013
"MYLK",4638
"ZC3H15",55854
"MAP2K4",6416
"PACC1",55248
"SLK",9748
"CYB5R4",51167
"SEC61A2",55176
"PRKCQ",5588
"ASB1",51665
"FAM107B",83641
"TBC1D1",23216
"CDK13",8621
"MTHFD2",10797
"FOXJ2",55810
"YBX1",4904
"PPP2R5A",5525
"CTNNA2",1496
"ELAVL1",1994
"DIP2B",57609
"SMARCD1",6602
"KDM4A",9682
"NFYC",4802
"SLC9A3",6550
"ASPM",259266
"ELOVL1",64834
"ZNRD1",30834
"MPPED2",744
"ZBTB11",27107
"ATXN3",4287
"GOLGA5",9950
"FGFR2",2263
"LRRC40",55631
"ISOC1",51015
"EML1",2009
"TRMT11",60487
"THUMPD1",55623
"MSANTD3",91283
"KIF26A",26153
"ATG2B",55102
"ARFGEF1",10565
"MTFR1",9650
"STAG3",10734
"FECH",2235
"MYO9A",4649
"DDX3Y",8653
"PFKP",5214
"IDI1",3422
"KLF6",1316
"PLPP1",8611
"NEO1",4756
"TRAM1",23471
"PHKA1",5255
"TNFRSF1A",7132
"CACNB1",782
"EVI5",7813
"STOML1",9399
"PKM",5315
"DHX29",54505
"DNTTIP2",30836
"METTL22",79091
"TP53BP1",7158
"TRO",7216
"RRP15",51018
"RHOA",387
"DHX8",1659
"ZFY",7544
"IARS2",55699
"SYT1",6857
"IDH3G",3421
"ROGDI",79641
"PDZD4",57595
"ROCK1",6093
"CBFB",865
"PDK3",5165
"HYAL2",8692
"HDAC4",9759
"RASSF1",11186
"FGFR3",2261
"HEATR6",63897
"COASY",80347
"PLEKHH3",79990
"MEF2A",4205
"OTUD5",55593
"TFE3",7030
"TBC1D25",4943
"ACSL4",2182
"INPP5A",3632
"GPKOW",27238
"GRIPAP1",56850
"FTSJ1",24140
"PRR11",55771
"REEP1",65055
"ATP11A",23250
"POLR1A",25885
"LAPTM4A",9741
"TTC7A",57217
"IP6K2",51447
"SRBD1",55133
"KIF2A",3796
"PSME4",23198
"IFT80",57560
"SIRT2",22933
"ERLEC1",27248
"PPP2R5B",5526
"MAST4",375449
"SDK2",54549
"NUP133",55746
"NUCKS1",64710
"VPS35",55737
"DNAJA2",10294
"CLEC2D",29121
"FUNDC1",139341
"TGFBR3",7049
"ATP1B3",483
"NEDD4",4734
"PIGB",9488
"MAPK6",5597
"GNB5",10681
"RAB27A",5873
"HDHD5",27440
"UFD1",7353
"LRP6",4040
"PHRF1",57661
"ELP1",8518
"NUCB2",4925
"PFN2",5217
"FGF10",2255
"SLC44A1",23446
"TMEM260",54916
"SMG6",23293
"EXOC5",10640
"CLTCL1",8218
"FSTL3",10272
"DGCR2",9993
"RNF126",55658
"MNT",4335
"ZXDC",79364
"JMJD6",23210
"POLB",5423
"WIPI1",55062
"GBA2",57704
"NDST1",3340
"ASNS",440
"AP3M2",10947
"PABPC1",26986
"CFAP20",29105
"CSNK2A2",1459
"PTPN21",11099
"EIF2B3",8891
"TCOF1",6949
"CDC42",998
"OSBPL3",26031
"RAD18",56852
"ATP2B1",490
"NCK2",8440
"MAP4K4",9448
"MGAT4A",11320
"RPL31",6160
"WDR1",9948
"SNX13",23161
"ARHGAP10",79658
"RPS6KA2",6196
"ING3",54556
"VASH1",22846
"LMCD1",29995
"BUD23",114049
"SEL1L",6400
"TRIP13",9319
"ATP6AP1",537
"TCF3",6929
"TRIB2",28951
"DAZAP1",26528
"MBD3",53615
"HLTF",6596
"FAM50A",9130
"FAM3A",60343
"CPSF1",29894
"CYBRD1",79901
"PDCD2",5134
"SLC6A15",55117
"RDH11",51109
"PRKACA",5566
"ADGRL1",22859
"ACTN1",87
"ZFYVE26",23503
"RPS6KA6",27330
"EPN2",22905
"PTPN18",26469
"SPEG",10290
"ALDH3A2",224
"TFRC",7037
"SREBF1",6720
"AFF4",27125
"UBE2D1",7321
"MPP5",64398
"RHOBTB1",9886
"SMC1A",8243
"HSD17B10",3028
"MARK2",2011
"HMMR",3161
"CHFR",55743
"TRHDE",29953
"P4HA2",8974
"NFATC3",4775
"TRNT1",51095
"ACADVL",37
"STK10",6793
"FBXW11",23291
"CRMP1",1400
"EVC",2121
"DERL2",51009
"NDE1",54820
"MRVI1",10335
"AP1M1",8907
"PVR",5817
"XRCC1",7515
"SCARB1",949
"MCM2",4171
"SELENOO",83642
"PDE8A",5151
"CLCN4",1183
"NLE1",54475
"SDHA",6389
"SMARCE1",6605
"GSDMB",55876
"KDM5A",5927
"ADAM11",4185
"PPP2R3A",5523
"FERMT2",10979
"IGF2BP2",10644
"MAP3K13",9175
"ST6GAL1",6480
"PICALM",8301
"NSF",4905
"GLI2",2736
"CLASP1",23332
"MRPS34",65993
"NOTCH3",4854
"CLNS1A",1207
"TEAD2",8463
"EED",8726
"TSG101",7251
"NCBP3",55421
"CA12",771
"NTN4",59277
"BCS1L",617
"NUAK1",9891
"DPP8",54878
"SLC24A1",9187
"ZNF532",55205
"LMAN1",3998
"HACD3",51495
"ZZEF1",23140
"ENO1",2023
"MYDGF",56005
"ANO8",57719
"TUBE1",51175
"ARHGEF10L",55160
"WSCD2",9671
"KCNQ2",3785
"ACTR6",64431
"TIPIN",54962
"SRI",6717
"EIF4G3",8672
"NUP37",79023
"SEMA3A",10371
"GTSE1",51512
"SEMA3C",10512
"TTC38",55020
"ACAT1",38
"GRAMD4",23151
"CELSR1",9620
"WNT8B",7479
"ZNF638",27332
"SLC25A40",55972
"TIMM21",29090
"ADD2",119
"RASAL2",9462
"VPS9D1",9605
"ZNF37A",7587
"MARK3",4140
"SLC25A3",5250
"FNDC3B",64778
"FOSL2",2355
"CACNG4",27092
"FRYL",285527
"TMEM131",23505
"FSCN1",6624
"ACTB",60
"WDR62",284403
"DLG1",1739
"RAB7A",7879
"BCAP29",55973
"SEC31B",25956
"SART3",9733
"EXOSC7",23016
"KIFAP3",22920
"MKRN2",23609
"MCM6",4175
"REXO2",25996
"RBM7",10179
"RBMS2",5939
"BAZ2A",11176
"PTPN23",25930
"MLH1",4292
"UNG",7374
"KLHL20",27252
"PLXNA2",5362
"SPAG5",10615
"ANKRD13A",88455
"ACACB",32
"TRAF4",9618
"PAG1",55824
"GPATCH1",55094
"ICAM3",3385
"NT5C2",22978
"MCAM",4162
"GPC4",2239
"MBNL3",55796
"CAMSAP3",57662
"XAB2",56949
"ARHGEF1",9138
"MAP2K7",5609
"DGKD",8527
"CTTNBP2",83992
"TOP2B",7155
"TM9SF3",56889
"NFKB2",4791
"UBE2T",29089
"PPP1R12B",4660
"DNAJC10",54431
"GTF3C1",2975
"IL4R",3566
"USP33",23032
"PAK3",5063
"CAPN6",827
"DCX",1641
"SNRPA",6626
"EXOSC5",56915
"DYNC1I2",1781
"LRCH4",4034
"FAM76B",143684
"SIRT6",51548
"POLD3",10714
"CAPZB",832
"GPR137B",7107
"NAALAD2",10003
"JADE1",79960
"SLC25A43",203427
"UBE2A",7319
"FGFR1",2260
"FBLN1",2192
"ITGA8",8516
"MAP2",4133
"PIAS2",9063
"AMPH",273
"ARAF",369
"MCCC1",56922
"FAP",2191
"NEBL",10529
"ACER3",55331
"UBE2K",3093
"PIK3C3",5289
"N4BP2",55728
"TIGAR",57103
"TULP3",7289
"SYNJ2",8871
"PPP2R5C",5527
"GNB1",2782
"MLLT10",8028
"ADCYAP1R1",117
"ITM2A",9452
"NRDC",4898
"VDAC3",7419
"PCM1",5108
"TNRC6C",57690
"CBFA2T2",9139
"ITCH",83737
"TP53INP2",58476
"SDF4",51150
"TOLLIP",54472
"RUNX1T1",862
"THOC1",9984
"FKBP7",51661
"OSBPL6",114880
"SLC1A3",6507
"XRCC5",7520
"LXN",56925
"MKNK1",8569
"TNS1",7145
"REXO1",57455
"SAR1A",56681
"CDC14A",8556
"SENP1",29843
"CIC",23152
"LIPE",3991
"FDFT1",2222
"PAFAH1B3",5050
"OPHN1",4983
"KIF22",3835
"CARMIL1",55604
"PGM1",5236
"DDX1",1653
"DNM2",1785
"EPB41L2",2037
"MOXD1",26002
"STX7",8417
"RABL2B",11158
"KEAP1",9817
"SLC35C2",51006
"CRYBG3",131544
"RFX3",5991
"RIF1",55183
"RAB21",23011
"SMARCA2",6595
"SESN1",27244
"SRCAP",10847
"PUM3",9933
"CNOT4",4850
"PSEN1",5663
"CPOX",1371
"CLDND1",56650
"MOK",5891
"HSP90AA1",3320
"RBL1",5933
"DLGAP4",22839
"CROCCP3",114819
"NDC80",10403
"AP4E1",23431
"RSBN1",54665
"MAGI3",260425
"TCF7",6932
"OSTM1",28962
"CDH7",1005
"PCNP",57092
"EXD2",55218
"ARG2",384
"MEF2C",4208
"UBA5",79876
"STK17B",9262
"CDC14B",8555
"ZNF510",22869
"LRP2",4036
"ZNF506",440515
"JMJD4",65094
"DUSP12",11266
"AACS",65985
"DELE1",9812
"CADPS2",93664
"PCDHA6",56142
"HSPB11",51668
"PHLPP1",23239
"SMARCD3",6604
"WDR70",55100
"STRADB",55437
"BZW1",9689
"ME2",4200
"C5orf22",55322
"CCNT2",905
"FAM135A",57579
"EPB41L3",23136
"COBLL1",22837
"DLG3",1741
"KCNK2",3776
"SERTAD4",56256
"TRAF5",7188
"MRPL22",29093
"GEMIN5",25929
"NFE2L1",4779
"SEMA5B",54437
"GSK3B",2932
"ITGB5",3693
"ERC1",23085
"XPO1",7514
"RNF13",11342
"PALB2",79728
"DOP1A",23033
"LYRM2",57226
"BCKDHB",594
"KAT6A",7994
"TUT7",79670
"ULK2",9706
"TNPO1",3842
"PLOD1",5351
"ITGAE",3682
"DIS3",22894
"PIBF1",10464
"TDRD3",81550
"NUFIP1",26747
"PDS5B",23047
"OXCT1",5019
"RRAGB",10325
"CYLD",1540
"ZNF324",25799
"ZNF671",79891
"ZNF416",55659
"ZNF586",54807
"ZNF446",55663
"ZNF264",9422
"RPS5",6193
"FAT1",2195
"YTHDC1",91746
"CHMP2B",25978
"SMAP2",64744
"PPIE",10450
"ZMPSTE24",10269
"STARD7",56910
"NOA1",84273
"REST",5978
"SSH1",54434
"GSTP1",2950
"APLP2",334
"FAM234B",57613
"WBP11",51729
"EIF3I",8668
"NKAIN1",79570
"TXLNA",200081
"NCOA1",8648
"AGBL5",60509
"EFR3B",22979
"KIF3C",3797
"RAB10",10890
"HADHA",3030
"MAPRE3",22924
"CAD",790
"CD59",966
"CD82",3732
"BCORL1",63035
"ATRX",546
"AK6",102157402
"MYNN",55892
"MECOM",2122
"SCAMP1",9522
"PREP",5550
"HACE1",57531
"SEH1L",81929
"WDR47",22911
"WDFY1",57590
"SLC25A24",29957
"MAP3K4",4216
"PILRA",29992
"IGSF9",57549
"ZNF213",7760
"AKR1B1",231
"CPNE3",8895
"RRN3",54700
"CTTN",2017
"MTIF2",4528
"DDHD2",23259
"EPS15",2060
"ORC1",4998
"MGST2",4258
"CHERP",10523
"ATG16L1",55054
"USP40",55230
"POMGNT1",55624
"RAD54L",8438
"MAST2",23139
"DNAJA1",3301
"B4GALT1",2683
"CHMP5",51510
"NFX1",4799
"DIMT1",27292
"IPO11",51194
"EIF2AK1",27102
"EPDR1",54749
"SNX10",29887
"SEPHS1",22929
"MRPL28",10573
"ITPKC",80271
"RBM22",55696
"TMED2",10959
"ERO1B",56605
"ZFAND6",54469
"TXLNG",55787
"HUWE1",10075
"ZW10",9183
"ALG9",79796
"ACOX3",8310
"MTMR2",8898
"PPP1R15A",23645
"HSD17B14",51171
"TRIP6",7205
"FTL",2512
"SRRT",51593
"BAX",581
"NLK",51701
"PIGS",94005
"ADAMTS2",9509
"ATXN7L3",56970
"PGS1",9489
"PSMC5",5705
"UIMC1",51720
"MMP2",4313
"LPCAT2",54947
"GNAO1",2775
"OGFOD1",55239
"SH3BP2",6452
"NOP14",8602
"ADD1",118
"L2HGDH",79944
"TXNDC16",57544
"RTRAF",51637
"NID2",22795
"GMCL1",64395
"SF3B2",10992
"KLHL42",57542
"GNAS",2778
"DNM1L",10059
"PHACTR3",116154
"ERGIC2",51290
"TFAP2C",7022
"AURKA",6790
"PIR",8544
"AAMDC",28971
"RFX2",5990
"METTL2A",339175
"ALG6",29929
"CNOT3",4849
"PTPN4",5775
"DDX18",8886
"KHSRP",8570
"GNA11",2767
"ASAP3",55616
"EDEM2",55741
"EDEM2",111089941
"DNMT3B",1789
"TPX2",22974
"PDRG1",81572
"EPB41L1",2036
"DOCK9",23348
"ANKRD10",55608
"TGDS",23483
"DOCK3",1795
"C3orf18",51161
"COQ9",57017
"ARHGAP28",79822
"CRLS1",54675
"ATRN",8455
"SMOX",54498
"FKBP1A",2280
"NSFL1C",55968
"SLC4A11",83959
"C20orf194",25943
"ZNF343",79175
"EBF4",57593
"CPXM1",56265
"MAVS",57506
"LZTS3",9762
"XRN2",22803
"KIZ",55857
"DYNLL1",8655
"SNX5",27131
"RPL6",6128
"MAPKAPK5",8550
"ESF1",51575
"RBBP9",10741
"ANAPC5",51433
"SLC23A2",9962
"SLC8B1",80024
"TMEM230",29058
"DZANK1",55184
"KDM2B",84678
"TASP1",55617
"GCN1",10985
"RPLP0",6175
"PXN",5829
"SIRT4",23409
"KIF16B",55614
"TRMT6",51605
"PEBP1",5037
"BRAP",8315
"ERP29",10961
"FUS",2521
"IGBP1",3476
"ZNF302",55900
"GRAMD1A",57655
"HEPH",9843
"CDIP1",29965
"GANAB",23193
"GMIP",51291
"RBM41",55285
"BIRC5",332
"LAG3",3902
"MLF2",8079
"OTUB2",78990
"DDX24",57062
"ZBTB25",7597
"NECAP1",25977
"DHX32",55760
"RCOR1",23186
"GPATCH2L",55668
"LTBP4",8425
"BLVRB",645
"SLC9A1",6548
"SPTLC1",10558
"PAPOLA",10914
"CCNK",8812
"PCBP4",57060
"YPEL3",83719
"MRPS33",51650
"NDUFB2",4708
"NUDC",10726
"MAEA",10296
"ICAM1",3383
"STRN4",29888
"MUL1",79594
"TFAP4",7023
"PDCD7",10081
"SPG21",51324
"DNAJB11",51726
"P3H2",55214
"RAB11FIP3",9727
"GNPTG",84572
"ZNF268",10795
"GOLGA3",2802
"PABPC4",8761
"CERS4",79603
"MCOLN1",57192
"USP48",84196
"EFNB1",1947
"PDPR",55066
"AARS",16
"GLG1",2734
"KIF4A",24137
"TNRC6A",27327
"PLEKHG2",64857
"DLL3",10683
"NAT14",57106
"PITPNM2",57605
"EXOC1",55763
"RBM27",54439
"OSBPL8",114882
"DTX2",113878
"PUS7",54517
"NRCAM",4897
"LAMB1",3912
"DLD",1738
"WDR7",23335
"TXNL1",9352
"CMTM6",54918
"ITGA6",3655
"MAP3K20",51776
