"","NGenes","Direction","PValue","FDR"
"KEGG_ARACHIDONIC_ACID_METABOLISM",0,"Up",2,1
"KEGG_LINOLEIC_ACID_METABOLISM",0,"Up",2,1
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0,"Up",2,1
"KEGG_SPHINGOLIPID_METABOLISM",0,"Up",2,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0,"Up",2,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES",0,"Up",2,1
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0,"Up",2,1
"KEGG_PYRUVATE_METABOLISM",0,"Up",2,1
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0,"Up",2,1
"KEGG_PROPANOATE_METABOLISM",0,"Up",2,1
"KEGG_BUTANOATE_METABOLISM",0,"Up",2,1
"KEGG_ONE_CARBON_POOL_BY_FOLATE",0,"Up",2,1
"KEGG_RIBOFLAVIN_METABOLISM",0,"Up",2,1
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0,"Up",2,1
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0,"Up",2,1
"KEGG_FOLATE_BIOSYNTHESIS",0,"Up",2,1
"KEGG_RETINOL_METABOLISM",0,"Up",2,1
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0,"Up",2,1
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",0,"Up",2,1
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",0,"Up",2,1
"KEGG_NITROGEN_METABOLISM",0,"Up",2,1
"KEGG_SULFUR_METABOLISM",0,"Up",2,1
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0,"Up",2,1
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0,"Up",2,1
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0,"Up",2,1
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0,"Up",2,1
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0,"Up",2,1
"KEGG_ABC_TRANSPORTERS",0,"Up",2,1
"KEGG_RIBOSOME",0,"Up",2,1
"KEGG_RNA_DEGRADATION",0,"Up",2,1
"KEGG_RNA_POLYMERASE",0,"Up",2,1
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0,"Up",2,1
"KEGG_DNA_REPLICATION",0,"Up",2,1
"KEGG_SPLICEOSOME",0,"Up",2,1
"KEGG_PROTEASOME",0,"Up",2,1
"KEGG_PROTEIN_EXPORT",0,"Up",2,1
"KEGG_PPAR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_BASE_EXCISION_REPAIR",0,"Up",2,1
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0,"Up",2,1
"KEGG_MISMATCH_REPAIR",0,"Up",2,1
"KEGG_HOMOLOGOUS_RECOMBINATION",0,"Up",2,1
"KEGG_NON_HOMOLOGOUS_END_JOINING",0,"Up",2,1
"KEGG_MAPK_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_ERBB_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_CALCIUM_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0,"Up",2,1
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0,"Up",2,1
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0,"Up",2,1
"KEGG_CELL_CYCLE",0,"Up",2,1
"KEGG_OOCYTE_MEIOSIS",0,"Up",2,1
"KEGG_P53_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0,"Up",2,1
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0,"Up",2,1
"KEGG_REGULATION_OF_AUTOPHAGY",0,"Up",2,1
"KEGG_LYSOSOME",0,"Up",2,1
"KEGG_ENDOCYTOSIS",0,"Up",2,1
"KEGG_PEROXISOME",0,"Up",2,1
"KEGG_MTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_APOPTOSIS",0,"Up",2,1
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0,"Up",2,1
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0,"Up",2,1
"KEGG_WNT_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0,"Up",2,1
"KEGG_NOTCH_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_AXON_GUIDANCE",0,"Up",2,1
"KEGG_VEGF_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_FOCAL_ADHESION",0,"Up",2,1
"KEGG_ECM_RECEPTOR_INTERACTION",0,"Up",2,1
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0,"Up",2,1
"KEGG_ADHERENS_JUNCTION",0,"Up",2,1
"KEGG_TIGHT_JUNCTION",0,"Up",2,1
"KEGG_GAP_JUNCTION",0,"Up",2,1
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0,"Up",2,1
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0,"Up",2,1
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",0,"Up",2,1
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0,"Up",2,1
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0,"Up",2,1
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0,"Up",2,1
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0,"Up",2,1
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0,"Up",2,1
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0,"Up",2,1
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",0,"Up",2,1
"KEGG_LONG_TERM_POTENTIATION",0,"Up",2,1
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_LONG_TERM_DEPRESSION",0,"Up",2,1
"KEGG_OLFACTORY_TRANSDUCTION",0,"Up",2,1
"KEGG_TASTE_TRANSDUCTION",0,"Up",2,1
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0,"Up",2,1
"KEGG_INSULIN_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_GNRH_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0,"Up",2,1
"KEGG_MELANOGENESIS",0,"Up",2,1
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0,"Up",2,1
"KEGG_TYPE_II_DIABETES_MELLITUS",0,"Up",2,1
"KEGG_TYPE_I_DIABETES_MELLITUS",0,"Up",2,1
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0,"Up",2,1
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0,"Up",2,1
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0,"Up",2,1
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0,"Up",2,1
"KEGG_ALZHEIMERS_DISEASE",0,"Up",2,1
"KEGG_PARKINSONS_DISEASE",0,"Up",2,1
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0,"Up",2,1
"KEGG_HUNTINGTONS_DISEASE",0,"Up",2,1
"KEGG_PRION_DISEASES",0,"Up",2,1
"KEGG_VIBRIO_CHOLERAE_INFECTION",0,"Up",2,1
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0,"Up",2,1
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0,"Up",2,1
"KEGG_LEISHMANIA_INFECTION",0,"Up",2,1
"KEGG_PATHWAYS_IN_CANCER",0,"Up",2,1
"KEGG_COLORECTAL_CANCER",0,"Up",2,1
"KEGG_RENAL_CELL_CARCINOMA",0,"Up",2,1
"KEGG_PANCREATIC_CANCER",0,"Up",2,1
"KEGG_ENDOMETRIAL_CANCER",0,"Up",2,1
"KEGG_GLIOMA",0,"Up",2,1
"KEGG_PROSTATE_CANCER",0,"Up",2,1
"KEGG_THYROID_CANCER",0,"Up",2,1
"KEGG_BASAL_CELL_CARCINOMA",0,"Up",2,1
"KEGG_MELANOMA",0,"Up",2,1
"KEGG_BLADDER_CANCER",0,"Up",2,1
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0,"Up",2,1
"KEGG_ACUTE_MYELOID_LEUKEMIA",0,"Up",2,1
"KEGG_SMALL_CELL_LUNG_CANCER",0,"Up",2,1
"KEGG_NON_SMALL_CELL_LUNG_CANCER",0,"Up",2,1
"KEGG_ASTHMA",0,"Up",2,1
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0,"Up",2,1
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0,"Up",2,1
"KEGG_ALLOGRAFT_REJECTION",0,"Up",2,1
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0,"Up",2,1
"KEGG_PRIMARY_IMMUNODEFICIENCY",0,"Up",2,1
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0,"Up",2,1
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0,"Up",2,1
"KEGG_DILATED_CARDIOMYOPATHY",0,"Up",2,1
"KEGG_VIRAL_MYOCARDITIS",0,"Up",2,1
"BIOCARTA_RELA_PATHWAY",0,"Up",2,1
"BIOCARTA_NO1_PATHWAY",0,"Up",2,1
"BIOCARTA_CSK_PATHWAY",0,"Up",2,1
"BIOCARTA_SRCRPTP_PATHWAY",0,"Up",2,1
"BIOCARTA_AMI_PATHWAY",0,"Up",2,1
"BIOCARTA_GRANULOCYTES_PATHWAY",0,"Up",2,1
"BIOCARTA_LYM_PATHWAY",0,"Up",2,1
"BIOCARTA_ARAP_PATHWAY",0,"Up",2,1
"BIOCARTA_AGR_PATHWAY",0,"Up",2,1
"BIOCARTA_AKAP95_PATHWAY",0,"Up",2,1
"BIOCARTA_AKT_PATHWAY",0,"Up",2,1
"BIOCARTA_ALK_PATHWAY",0,"Up",2,1
"BIOCARTA_AT1R_PATHWAY",0,"Up",2,1
"BIOCARTA_ACE2_PATHWAY",0,"Up",2,1
"BIOCARTA_ASBCELL_PATHWAY",0,"Up",2,1
"BIOCARTA_DNAFRAGMENT_PATHWAY",0,"Up",2,1
"BIOCARTA_CHEMICAL_PATHWAY",0,"Up",2,1
"BIOCARTA_SPPA_PATHWAY",0,"Up",2,1
"BIOCARTA_ATM_PATHWAY",0,"Up",2,1
"BIOCARTA_AGPCR_PATHWAY",0,"Up",2,1
"BIOCARTA_BCELLSURVIVAL_PATHWAY",0,"Up",2,1
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0,"Up",2,1
"BIOCARTA_BCR_PATHWAY",0,"Up",2,1
"BIOCARTA_BIOPEPTIDES_PATHWAY",0,"Up",2,1
"BIOCARTA_RANKL_PATHWAY",0,"Up",2,1
"BIOCARTA_CACAM_PATHWAY",0,"Up",2,1
"BIOCARTA_CDMAC_PATHWAY",0,"Up",2,1
"BIOCARTA_CARM_ER_PATHWAY",0,"Up",2,1
"BIOCARTA_CASPASE_PATHWAY",0,"Up",2,1
"BIOCARTA_CBL_PATHWAY",0,"Up",2,1
"BIOCARTA_CCR3_PATHWAY",0,"Up",2,1
"BIOCARTA_CD40_PATHWAY",0,"Up",2,1
"BIOCARTA_MCM_PATHWAY",0,"Up",2,1
"BIOCARTA_G1_PATHWAY",0,"Up",2,1
"BIOCARTA_G2_PATHWAY",0,"Up",2,1
"BIOCARTA_CELL2CELL_PATHWAY",0,"Up",2,1
"BIOCARTA_LAIR_PATHWAY",0,"Up",2,1
"BIOCARTA_CERAMIDE_PATHWAY",0,"Up",2,1
"BIOCARTA_TID_PATHWAY",0,"Up",2,1
"BIOCARTA_CLASSIC_PATHWAY",0,"Up",2,1
"BIOCARTA_COMP_PATHWAY",0,"Up",2,1
"BIOCARTA_VDR_PATHWAY",0,"Up",2,1
"BIOCARTA_HDAC_PATHWAY",0,"Up",2,1
"BIOCARTA_GCR_PATHWAY",0,"Up",2,1
"BIOCARTA_CTCF_PATHWAY",0,"Up",2,1
"BIOCARTA_CTL_PATHWAY",0,"Up",2,1
"BIOCARTA_CXCR4_PATHWAY",0,"Up",2,1
"BIOCARTA_CELLCYCLE_PATHWAY",0,"Up",2,1
"BIOCARTA_CFTR_PATHWAY",0,"Up",2,1
"BIOCARTA_CYTOKINE_PATHWAY",0,"Up",2,1
"BIOCARTA_INFLAM_PATHWAY",0,"Up",2,1
"BIOCARTA_D4GDI_PATHWAY",0,"Up",2,1
"BIOCARTA_DC_PATHWAY",0,"Up",2,1
"BIOCARTA_P35ALZHEIMERS_PATHWAY",0,"Up",2,1
"BIOCARTA_RNA_PATHWAY",0,"Up",2,1
"BIOCARTA_MTA3_PATHWAY",0,"Up",2,1
"BIOCARTA_SKP2E2F_PATHWAY",0,"Up",2,1
"BIOCARTA_CALCINEURIN_PATHWAY",0,"Up",2,1
"BIOCARTA_EGF_PATHWAY",0,"Up",2,1
"BIOCARTA_ETC_PATHWAY",0,"Up",2,1
"BIOCARTA_NDKDYNAMIN_PATHWAY",0,"Up",2,1
"BIOCARTA_EPHA4_PATHWAY",0,"Up",2,1
"BIOCARTA_EPO_PATHWAY",0,"Up",2,1
"BIOCARTA_ECM_PATHWAY",0,"Up",2,1
"BIOCARTA_ERK_PATHWAY",0,"Up",2,1
"BIOCARTA_ERYTH_PATHWAY",0,"Up",2,1
"BIOCARTA_EPONFKB_PATHWAY",0,"Up",2,1
"BIOCARTA_EIF_PATHWAY",0,"Up",2,1
"BIOCARTA_EXTRINSIC_PATHWAY",0,"Up",2,1
"BIOCARTA_FAS_PATHWAY",0,"Up",2,1
"BIOCARTA_FCER1_PATHWAY",0,"Up",2,1
"BIOCARTA_FIBRINOLYSIS_PATHWAY",0,"Up",2,1
"BIOCARTA_FMLP_PATHWAY",0,"Up",2,1
"BIOCARTA_FREE_PATHWAY",0,"Up",2,1
"BIOCARTA_GABA_PATHWAY",0,"Up",2,1
"BIOCARTA_GATA3_PATHWAY",0,"Up",2,1
"BIOCARTA_SET_PATHWAY",0,"Up",2,1
"BIOCARTA_GH_PATHWAY",0,"Up",2,1
"BIOCARTA_AHSP_PATHWAY",0,"Up",2,1
"BIOCARTA_TCAPOPTOSIS_PATHWAY",0,"Up",2,1
"BIOCARTA_HIVNEF_PATHWAY",0,"Up",2,1
"BIOCARTA_SALMONELLA_PATHWAY",0,"Up",2,1
"BIOCARTA_MPR_PATHWAY",0,"Up",2,1
"BIOCARTA_HCMV_PATHWAY",0,"Up",2,1
"BIOCARTA_P53HYPOXIA_PATHWAY",0,"Up",2,1
"BIOCARTA_HIF_PATHWAY",0,"Up",2,1
"BIOCARTA_IGF1_PATHWAY",0,"Up",2,1
"BIOCARTA_IL17_PATHWAY",0,"Up",2,1
"BIOCARTA_IL2_PATHWAY",0,"Up",2,1
"BIOCARTA_IL3_PATHWAY",0,"Up",2,1
"BIOCARTA_IL4_PATHWAY",0,"Up",2,1
"BIOCARTA_IL5_PATHWAY",0,"Up",2,1
"BIOCARTA_IL6_PATHWAY",0,"Up",2,1
"BIOCARTA_IL10_PATHWAY",0,"Up",2,1
"BIOCARTA_IL12_PATHWAY",0,"Up",2,1
"BIOCARTA_IL2RB_PATHWAY",0,"Up",2,1
"BIOCARTA_IL22BP_PATHWAY",0,"Up",2,1
"BIOCARTA_IL7_PATHWAY",0,"Up",2,1
"BIOCARTA_GSK3_PATHWAY",0,"Up",2,1
"BIOCARTA_DEATH_PATHWAY",0,"Up",2,1
"BIOCARTA_RACCYCD_PATHWAY",0,"Up",2,1
"BIOCARTA_GLEEVEC_PATHWAY",0,"Up",2,1
"BIOCARTA_INSULIN_PATHWAY",0,"Up",2,1
"BIOCARTA_INTEGRIN_PATHWAY",0,"Up",2,1
"BIOCARTA_INTRINSIC_PATHWAY",0,"Up",2,1
"BIOCARTA_KERATINOCYTE_PATHWAY",0,"Up",2,1
"BIOCARTA_TCRA_PATHWAY",0,"Up",2,1
"BIOCARTA_LECTIN_PATHWAY",0,"Up",2,1
"BIOCARTA_PYK2_PATHWAY",0,"Up",2,1
"BIOCARTA_EGFR_SMRTE_PATHWAY",0,"Up",2,1
"BIOCARTA_MAPK_PATHWAY",0,"Up",2,1
"BIOCARTA_MCALPAIN_PATHWAY",0,"Up",2,1
"BIOCARTA_PPARA_PATHWAY",0,"Up",2,1
"BIOCARTA_ETS_PATHWAY",0,"Up",2,1
"BIOCARTA_MONOCYTE_PATHWAY",0,"Up",2,1
"BIOCARTA_MTOR_PATHWAY",0,"Up",2,1
"BIOCARTA_IGF1R_PATHWAY",0,"Up",2,1
"BIOCARTA_PITX2_PATHWAY",0,"Up",2,1
"BIOCARTA_NGF_PATHWAY",0,"Up",2,1
"BIOCARTA_VIP_PATHWAY",0,"Up",2,1
"BIOCARTA_NFAT_PATHWAY",0,"Up",2,1
"BIOCARTA_NTHI_PATHWAY",0,"Up",2,1
"BIOCARTA_NFKB_PATHWAY",0,"Up",2,1
"BIOCARTA_NOS1_PATHWAY",0,"Up",2,1
"BIOCARTA_NO2IL12_PATHWAY",0,"Up",2,1
"BIOCARTA_RARRXR_PATHWAY",0,"Up",2,1
"BIOCARTA_NUCLEARRS_PATHWAY",0,"Up",2,1
"BIOCARTA_ARENRF2_PATHWAY",0,"Up",2,1
"BIOCARTA_P38MAPK_PATHWAY",0,"Up",2,1
"BIOCARTA_P53_PATHWAY",0,"Up",2,1
"BIOCARTA_PDGF_PATHWAY",0,"Up",2,1
"BIOCARTA_CCR5_PATHWAY",0,"Up",2,1
"BIOCARTA_PTDINS_PATHWAY",0,"Up",2,1
"BIOCARTA_PLCE_PATHWAY",0,"Up",2,1
"BIOCARTA_EDG1_PATHWAY",0,"Up",2,1
"BIOCARTA_CDK5_PATHWAY",0,"Up",2,1
"BIOCARTA_MYOSIN_PATHWAY",0,"Up",2,1
"BIOCARTA_PLATELETAPP_PATHWAY",0,"Up",2,1
"BIOCARTA_PS1_PATHWAY",0,"Up",2,1
"BIOCARTA_AKAPCENTROSOME_PATHWAY",0,"Up",2,1
"BIOCARTA_PTEN_PATHWAY",0,"Up",2,1
"BIOCARTA_RAB_PATHWAY",0,"Up",2,1
"BIOCARTA_RAC1_PATHWAY",0,"Up",2,1
"BIOCARTA_RAS_PATHWAY",0,"Up",2,1
"BIOCARTA_NKCELLS_PATHWAY",0,"Up",2,1
"BIOCARTA_RB_PATHWAY",0,"Up",2,1
"BIOCARTA_BAD_PATHWAY",0,"Up",2,1
"BIOCARTA_CK1_PATHWAY",0,"Up",2,1
"BIOCARTA_EIF2_PATHWAY",0,"Up",2,1
"BIOCARTA_EIF4_PATHWAY",0,"Up",2,1
"BIOCARTA_STEM_PATHWAY",0,"Up",2,1
"BIOCARTA_P27_PATHWAY",0,"Up",2,1
"BIOCARTA_PGC1A_PATHWAY",0,"Up",2,1
"BIOCARTA_PML_PATHWAY",0,"Up",2,1
"BIOCARTA_DREAM_PATHWAY",0,"Up",2,1
"BIOCARTA_LEPTIN_PATHWAY",0,"Up",2,1
"BIOCARTA_RHO_PATHWAY",0,"Up",2,1
"BIOCARTA_AKAP13_PATHWAY",0,"Up",2,1
"BIOCARTA_ATRBRCA_PATHWAY",0,"Up",2,1
"BIOCARTA_CARDIACEGF_PATHWAY",0,"Up",2,1
"BIOCARTA_HER2_PATHWAY",0,"Up",2,1
"BIOCARTA_ERK5_PATHWAY",0,"Up",2,1
"BIOCARTA_MAL_PATHWAY",0,"Up",2,1
"BIOCARTA_MEF2D_PATHWAY",0,"Up",2,1
"BIOCARTA_MITOCHONDRIA_PATHWAY",0,"Up",2,1
"BIOCARTA_ACH_PATHWAY",0,"Up",2,1
"BIOCARTA_PARKIN_PATHWAY",0,"Up",2,1
"BIOCARTA_CDC42RAC_PATHWAY",0,"Up",2,1
"BIOCARTA_RANMS_PATHWAY",0,"Up",2,1
"BIOCARTA_BARR_MAPK_PATHWAY",0,"Up",2,1
"BIOCARTA_TOB1_PATHWAY",0,"Up",2,1
"BIOCARTA_BARRESTIN_SRC_PATHWAY",0,"Up",2,1
"BIOCARTA_NKT_PATHWAY",0,"Up",2,1
"BIOCARTA_IL1R_PATHWAY",0,"Up",2,1
"BIOCARTA_MET_PATHWAY",0,"Up",2,1
"BIOCARTA_GPCR_PATHWAY",0,"Up",2,1
"BIOCARTA_IGF1MTOR_PATHWAY",0,"Up",2,1
"BIOCARTA_SODD_PATHWAY",0,"Up",2,1
"BIOCARTA_SHH_PATHWAY",0,"Up",2,1
"BIOCARTA_PTC1_PATHWAY",0,"Up",2,1
"BIOCARTA_SPRY_PATHWAY",0,"Up",2,1
"BIOCARTA_BARRESTIN_PATHWAY",0,"Up",2,1
"BIOCARTA_STATHMIN_PATHWAY",0,"Up",2,1
"BIOCARTA_HSP27_PATHWAY",0,"Up",2,1
"BIOCARTA_TCR_PATHWAY",0,"Up",2,1
"BIOCARTA_TCYTOTOXIC_PATHWAY",0,"Up",2,1
"BIOCARTA_THELPER_PATHWAY",0,"Up",2,1
"BIOCARTA_TALL1_PATHWAY",0,"Up",2,1
"BIOCARTA_TEL_PATHWAY",0,"Up",2,1
"BIOCARTA_TGFB_PATHWAY",0,"Up",2,1
"BIOCARTA_TH1TH2_PATHWAY",0,"Up",2,1
"BIOCARTA_41BB_PATHWAY",0,"Up",2,1
"BIOCARTA_CTLA4_PATHWAY",0,"Up",2,1
"BIOCARTA_LONGEVITY_PATHWAY",0,"Up",2,1
"BIOCARTA_SARS_PATHWAY",0,"Up",2,1
"BIOCARTA_PAR1_PATHWAY",0,"Up",2,1
"BIOCARTA_STRESS_PATHWAY",0,"Up",2,1
"BIOCARTA_TNFR1_PATHWAY",0,"Up",2,1
"BIOCARTA_TNFR2_PATHWAY",0,"Up",2,1
"BIOCARTA_TOLL_PATHWAY",0,"Up",2,1
"BIOCARTA_TPO_PATHWAY",0,"Up",2,1
"BIOCARTA_CREB_PATHWAY",0,"Up",2,1
"BIOCARTA_CARM1_PATHWAY",0,"Up",2,1
"BIOCARTA_TFF_PATHWAY",0,"Up",2,1
"BIOCARTA_TRKA_PATHWAY",0,"Up",2,1
"BIOCARTA_ARF_PATHWAY",0,"Up",2,1
"BIOCARTA_UCALPAIN_PATHWAY",0,"Up",2,1
"BIOCARTA_VEGF_PATHWAY",0,"Up",2,1
"BIOCARTA_VITCB_PATHWAY",0,"Up",2,1
"BIOCARTA_WNT_PATHWAY",0,"Up",2,1
"BIOCARTA_ACTINY_PATHWAY",0,"Up",2,1
"SA_B_CELL_RECEPTOR_COMPLEXES",0,"Up",2,1
"SIG_CD40PATHWAYMAP",0,"Up",2,1
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",0,"Up",2,1
"SA_CASPASE_CASCADE",0,"Up",2,1
"SIG_CHEMOTAXIS",0,"Up",2,1
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",0,"Up",2,1
"WNT_SIGNALING",0,"Up",2,1
